title;main_story_length;mainextra_length;completionist_length;combined_length;platform
2048;0.26666666666666666;;;;PlayStation 3
2064: Read Only Memories;9.5;;;;PlayStation 3
20XX;4;;;;PlayStation 3
24 Hours;;;;;PlayStation 3
24 Hours 'til Rescue;;;;;PlayStation 3
2400 A.D.;;;;;PlayStation 3
24: The Game;12;;;;PlayStation 3
25 To Life;4.5;;;;PlayStation 3
28 Waves Later;;;;;PlayStation 3
2Dark;10;;;;PlayStation 3
2Xtreme;0.9833333333333333;;;;PlayStation 3
3 Cards to Dead Time;11.5;;;;PlayStation 3
3 Cards to Midnight;17.5;;;;PlayStation 3
3 Coins At School;;;;;PlayStation 3
3 Count Bout;2;;;;PlayStation 3
3 in Three;;;;;PlayStation 3
3 Ninjas Kick Back;2;;;;PlayStation 3
3 on 3 NHL Arcade;1;;;;PlayStation 3
3 Skulls of the Toltecs;;;;;PlayStation 3
3 Stars of Destiny;15;;;;PlayStation 3
3-D Tic-Tac-Toe;;;;;PlayStation 3
3-D Ultra Pinball;;;;;PlayStation 3
3-D Ultra Radio Control Racers;;;;;PlayStation 3
3-D WorldRunner;1;;;;PlayStation 3
30 Flights of Loathing;0.08333333333333333;;;;PlayStation 3
30 Impossible Levels;2;;;;PlayStation 3
300 Dwarves;3;;;;PlayStation 3
300: March to Glory;7.5;;;;PlayStation 3
3030 Deathwar;;;;;PlayStation 3
3030 Deathwar Redux;;;;;PlayStation 3
3079;3;;;;PlayStation 3
3089;6.5;;;;PlayStation 3
35MM;4;;;;PlayStation 3
3D Chess;;;;;PlayStation 3
3D Classics: Excitebike;1.5;;;;PlayStation 3
3D Classics: Kid Icarus;4;;;;PlayStation 3
3D Dot Game Heroes;15.5;;;;PlayStation 3
3D Ecco the Dolphin;;;;;PlayStation 3
3D Fantasy Zone II W;1.5;;;;PlayStation 3
3D Galaxy Force II;0.45;;;;PlayStation 3
3D Gunstar Heroes;2;;;;PlayStation 3
3D Maze Walker;1;;;;PlayStation 3
3D Mini Golf;;;;;PlayStation 3
3D Pinball Express;;;;;PlayStation 3
3D Pinball for Windows - Space Cadet;;;;;PlayStation 3
3D Tetris;;;;;PlayStation 3
3D Tunnel;;;;;PlayStation 3
3D Ultra MiniGolf Adventures;;;;;PlayStation 3
3D Ultra MiniGolf Adventures 2;;;;;PlayStation 3
3DRPG;;;;;PlayStation 3
3rd Super Robot Wars Alpha: To the End of the Galaxy;;;;;PlayStation 3
3rd Super Robot Wars Z: Tengoku-hen;62.5;;;;PlayStation 3
3Souls;2;;;;PlayStation 3
3SwitcheD;1.5;;;;PlayStation 3
3Xtreme;0.6833333333333333;;;;PlayStation 3
4 Elements;8.5;;;;PlayStation 3
4 Elements II;6;;;;PlayStation 3
4 Pics 1 Word;;;;;PlayStation 3
4 Wheel Drive;0.6666666666666666;;;;PlayStation 3
4 Wheel Thunder;;;;;PlayStation 3
4-in-1 Fun Pak;;;;;PlayStation 3
40 Winks;6;;;;PlayStation 3
400 Years;0.31666666666666665;;;;PlayStation 3
404Sight;0.8166666666666667;;;;PlayStation 3
4089: Ghost Within;;;;;PlayStation 3
42 All-Time Classics;;;;;PlayStation 3
4D Prince of Persia;;;;;PlayStation 3
4D Sports Boxing;;;;;PlayStation 3
4D Sports Tennis;;;;;PlayStation 3
4PM;0.43333333333333335;;;;PlayStation 3
4V4 Arashi Get The Goal;;;;;PlayStation 3
4x4 Dream Race;;;;;PlayStation 3
4x4 EVO 2;;;;;PlayStation 3
4x4 Evolution;12.5;;;;PlayStation 3
4x4 Hummer;7;;;;PlayStation 3
5 Days a Stranger;3;;;;PlayStation 3
5 Minutes Rage;;;;;PlayStation 3
50 Cent: Blood on the Sand;6;;;;PlayStation 3
50 Cent: Bulletproof;6;;;;PlayStation 3
50 years;;;;;PlayStation 3
500 Years: Act 1;;;;;PlayStation 3
5089: The Action RPG;;;;;PlayStation 3
6 Day Assassin;0.25;;;;PlayStation 3
6 Days a Sacrifice;3;;;;PlayStation 3
6 Degrees of Sabotage;0.08333333333333333;;;;PlayStation 3
60 Seconds Burger Run;0.08333333333333333;;;;PlayStation 3
60 Seconds Santa Run;0.25;;;;PlayStation 3
60 Seconds!;2;;;;PlayStation 3
6180 the moon;1;;;;PlayStation 3
64.0;;;;;PlayStation 3
688(I) Hunter/Killer;9.5;;;;PlayStation 3
69 Ways to Kill a Zombie;;;;;PlayStation 3
7 Blades;;;;;PlayStation 3
7 Days a Skeptic;3;;;;PlayStation 3
7 Days to Die;30;;;;PlayStation 3
7 Dni a 7 noci;;;;;PlayStation 3
7 Grand Steps, Step 1: What Ancients Begat;8;;;;PlayStation 3
7 Mages;;;;;PlayStation 3
7 Sins;10;;;;PlayStation 3
7 Wonders II;6;;;;PlayStation 3
7 Wonders of the Ancient World;7;;;;PlayStation 3
7 Wonders: Ancient Alien Makeover;8;;;;PlayStation 3
7 Wonders: Magical Mystery Tour;7;;;;PlayStation 3
7 Wonders: Treasures of Seven;7;;;;PlayStation 3
7,62 High Calibre;;;;;PlayStation 3
7.62mm;;;;;PlayStation 3
720 Degrees;;;;;PlayStation 3
7554;7;;;;PlayStation 3
7D Game;;;;;PlayStation 3
7th Dragon;35;;;;PlayStation 3
7th Dragon 2020;34;;;;PlayStation 3
7th Dragon 2020-II;;;;;PlayStation 3
7th Dragon III Code: VFD;32;;;;PlayStation 3
7th Legion;;;;;PlayStation 3
8 Ball Pool Multiplayer;;;;;PlayStation 3
8 Eyes;2.5;;;;PlayStation 3
8-Bit Adventures: The Forgotten Journey;;;;;PlayStation 3
8-bit Armies;;;;;PlayStation 3
8-Bit Armies: Arena;;;;;PlayStation 3
8-Bit Bayonetta;0.2833333333333333;;;;PlayStation 3
8-Bit Commando;0.8666666666666667;;;;PlayStation 3
8-bit Hordes;;;;;PlayStation 3
8-Bit Invaders!;25;;;;PlayStation 3
8-Bit Killer;;;;;PlayStation 3
8-bit Mario World - Desert Mario;0.08333333333333333;;;;PlayStation 3
80 Days;3;;;;PlayStation 3
80 Days: Around the World Adventure;8;;;;PlayStation 3
868-HACK;2;;;;PlayStation 3
88 Heroes;;;;;PlayStation 3
8Ball Allstars;;;;;PlayStation 3
8Bit Fiesta;2;;;;PlayStation 3
8BitBoy;4.5;;;;PlayStation 3
8BitMMO;;;;;PlayStation 3
8DAYS;;;;;PlayStation 3
8i;;;;;PlayStation 3
8infinity;;;;;PlayStation 3
9 Clues 2: The Ward;3;;;;PlayStation 3
9 Clues: The Secret of Serpent Creek;2.5;;;;PlayStation 3
9.03m;;;;;PlayStation 3
90 Minute Fever;;;;;PlayStation 3
90 Minutes;;;;;PlayStation 3
911 Operator;8.5;;;;PlayStation 3
99 Levels to Hell;8;;;;PlayStation 3
99 Waves to Die;;;;;PlayStation 3
999: Nine Hours, Nine Persons, Nine Doors;9.5;;;;PlayStation 3
99Vidas;2.5;;;;PlayStation 3
9:05;0.25;;;;PlayStation 3
9th Company: Roots of Terror;4;;;;PlayStation 3
9th Dawn;;;;;PlayStation 3
:the game:;0.4166666666666667;;;;PlayStation 3
A Bastard's Tale;;;;;PlayStation 3
A Bird Story;;;;;PlayStation 3
A Blind Legend;2;;;;PlayStation 3
A Box Full Of Joy;;;;;PlayStation 3
A Boy and His Blob;9;;;;PlayStation 3
A Boy and His Blob: Trouble on Blobolonia;0.8666666666666667;;;;PlayStation 3
A Bug's Life;5.5;;;;PlayStation 3
A Bug's Life (GBC);3;;;;PlayStation 3
A Camp in the Woods;;;;;PlayStation 3
A Chair in a Room: Greenwater;2;;;;PlayStation 3
A City Sleeps;1;;;;PlayStation 3
A Collection of Activision Classic Games for the Atari 2600;;;;;PlayStation 3
A Cosmic Forest;;;;;PlayStation 3
A Dark Room;3.5;;;;PlayStation 3
A Date in the Park;0.6166666666666667;;;;PlayStation 3
A Dead World's Dream;;;;;PlayStation 3
A Demon's Game - Episode 1;;;;;PlayStation 3
A Detective's Novel;1.5;;;;PlayStation 3
A Druid's Duel;13;;;;PlayStation 3
A Duck Has An Adventure;;;;;PlayStation 3
A Fairy Tale;;;;;PlayStation 3
A Family of Grave Diggers;;;;;PlayStation 3
A Farewell to Dragons;;;;;PlayStation 3
A Fistful of Gun;3;;;;PlayStation 3
A Flipping Good Time;;;;;PlayStation 3
A Foretold Affair;4;;;;PlayStation 3
