title;main_story_length;mainextra_length;completionist_length;combined_length;platform
300: March to Glory;7.5;;;;Browser
3030 Deathwar;;;;;Browser
3030 Deathwar Redux;;;;;Browser
3079;3;;;;Browser
3089;6.5;;;;Browser
35MM;4;;;;Browser
3D Chess;;;;;Browser
3D Classics: Excitebike;1.5;;;;Browser
3D Classics: Kid Icarus;4;;;;Browser
3D Dot Game Heroes;15.5;;;;Browser
3D Ecco the Dolphin;;;;;Browser
3D Fantasy Zone II W;1.5;;;;Browser
3D Galaxy Force II;0.45;;;;Browser
3D Gunstar Heroes;2;;;;Browser
3D Maze Walker;1;;;;Browser
3D Mini Golf;;;;;Browser
3D Pinball Express;;;;;Browser
3D Pinball for Windows - Space Cadet;;;;;Browser
3D Tetris;;;;;Browser
3D Tunnel;;;;;Browser
3D Ultra MiniGolf Adventures;;;;;Browser
3D Ultra MiniGolf Adventures 2;;;;;Browser
3DRPG;;;;;Browser
3rd Super Robot Wars Alpha: To the End of the Galaxy;;;;;Browser
3rd Super Robot Wars Z: Tengoku-hen;62.5;;;;Browser
3Souls;2;;;;Browser
3SwitcheD;1.5;;;;Browser
3Xtreme;0.6833333333333333;;;;Browser
4 Elements;8.5;;;;Browser
4 Elements II;6;;;;Browser
4 Pics 1 Word;;;;;Browser
4 Wheel Drive;0.6666666666666666;;;;Browser
4 Wheel Thunder;;;;;Browser
4-in-1 Fun Pak;;;;;Browser
40 Winks;6;;;;Browser
400 Years;0.31666666666666665;;;;Browser
404Sight;0.8166666666666667;;;;Browser
4089: Ghost Within;;;;;Browser
42 All-Time Classics;;;;;Browser
4D Prince of Persia;;;;;Browser
4D Sports Boxing;;;;;Browser
4D Sports Tennis;;;;;Browser
4PM;0.43333333333333335;;;;Browser
4V4 Arashi Get The Goal;;;;;Browser
4x4 Dream Race;;;;;Browser
4x4 EVO 2;;;;;Browser
4x4 Evolution;12.5;;;;Browser
4x4 Hummer;7;;;;Browser
5 Days a Stranger;3;;;;Browser
5 Minutes Rage;;;;;Browser
50 Cent: Blood on the Sand;6;;;;Browser
50 Cent: Bulletproof;6;;;;Browser
50 years;;;;;Browser
500 Years: Act 1;;;;;Browser
5089: The Action RPG;;;;;Browser
6 Day Assassin;0.25;;;;Browser
6 Days a Sacrifice;3;;;;Browser
6 Degrees of Sabotage;0.08333333333333333;;;;Browser
60 Seconds Burger Run;0.08333333333333333;;;;Browser
60 Seconds Santa Run;0.25;;;;Browser
60 Seconds!;2;;;;Browser
6180 the moon;1;;;;Browser
64.0;;;;;Browser
688(I) Hunter/Killer;9.5;;;;Browser
69 Ways to Kill a Zombie;;;;;Browser
7 Blades;;;;;Browser
7 Days a Skeptic;3;;;;Browser
7 Days to Die;30;;;;Browser
7 Dni a 7 noci;;;;;Browser
7 Grand Steps, Step 1: What Ancients Begat;8;;;;Browser
7 Mages;;;;;Browser
7 Sins;10;;;;Browser
7 Wonders II;6;;;;Browser
7 Wonders of the Ancient World;7;;;;Browser
7 Wonders: Ancient Alien Makeover;8;;;;Browser
7 Wonders: Magical Mystery Tour;7;;;;Browser
7 Wonders: Treasures of Seven;7;;;;Browser
7,62 High Calibre;;;;;Browser
7.62mm;;;;;Browser
720 Degrees;;;;;Browser
7554;7;;;;Browser
7D Game;;;;;Browser
7th Dragon;35;;;;Browser
