title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Radiant Defense;;;;;PlayStation 3
Radiant Historia;34.5;;;;PlayStation 3
Radiant Silvergun;;;;;PlayStation 3
Radiata Stories;35.5;;;;PlayStation 3
Radiation Island;;;;;PlayStation 3
Radiation's Halloween Hack: Bad Fur Day Edition;;;;;PlayStation 3
Radiator 2;;;;;PlayStation 3
Radical Dreamers: Nusumenai Houseki;4.5;;;;PlayStation 3
Radical Heroes: Crimson City Crisis;;;;;PlayStation 3
Radical Psycho Machine Racing;;;;;PlayStation 3
Radical Rex;;;;;PlayStation 3
Radical Roach;;;;;PlayStation 3
Radical Spectrum: Volume 1;;;;;PlayStation 3
Radical Spectrum: Volume 2;;;;;PlayStation 3
Radikal Bikers;4;;;;PlayStation 3
Radio the Universe;;;;;PlayStation 3
Radirgy;;;;;PlayStation 3
Radium;;;;;PlayStation 3
Rag Doll Kung Fu: Fists of Plastic;2;;;;PlayStation 3
Ragdoll Runners;;;;;PlayStation 3
Rage;11;;;;PlayStation 3
Rage (Mobile);0.5666666666666667;;;;PlayStation 3
Rage of Mages;;;;;PlayStation 3
Rage of Mages II: Necromancer;14.5;;;;PlayStation 3
Rage of the Dragons;;;;;PlayStation 3
Rage of the Gladiator;;;;;PlayStation 3
Rage Parking Simulator 2016;1;;;;PlayStation 3
Rage Racer;6;;;;PlayStation 3
Rage Rally;;;;;PlayStation 3
Rage Runner;;;;;PlayStation 3
Rage Wars;;;;;PlayStation 3
Rage: The Scorchers DLC;2;;;;PlayStation 3
Rage: Wasteland Sewer Missions DLC;0.9333333333333333;;;;PlayStation 3
Rageball;;;;;PlayStation 3
Raging Titan;;;;;PlayStation 3
Ragnagard;;;;;PlayStation 3
Ragnarok Battle Offline;20;;;;PlayStation 3
Ragnarok Clicker;;;;;PlayStation 3
Ragnarok DS;18;;;;PlayStation 3
Ragnarok Journey;;;;;PlayStation 3
Ragnarok Odyssey;34;;;;PlayStation 3
Ragnarok Odyssey Ace;23;;;;PlayStation 3
Ragnarok Online;;;;;PlayStation 3
Ragnarok Online 2;;;;;PlayStation 3
Ragnarok Re:Start;;;;;PlayStation 3
Ragnarok Tactics;22;;;;PlayStation 3
RahXephon;;;;;PlayStation 3
Raid on Bungeling Bay;;;;;PlayStation 3
Raiden;1.5;;;;PlayStation 3
Raiden DX;0.6166666666666667;;;;PlayStation 3
Raiden Fighters;0.6666666666666666;;;;PlayStation 3
Raiden Fighters 2;;;;;PlayStation 3
Raiden Fighters Aces;0.5833333333333334;;;;PlayStation 3
Raiden Fighters Jet;0.4166666666666667;;;;PlayStation 3
Raiden II;0.6166666666666667;;;;PlayStation 3
Raiden III;0.4166666666666667;;;;PlayStation 3
Raiden IV;0.8333333333333334;;;;PlayStation 3
Raiden IV: OverKill;6;;;;PlayStation 3
Raiden Legacy;;;;;PlayStation 3
Raiden Trad;1.5;;;;PlayStation 3
Raiden V;1.5;;;;PlayStation 3
Raiders of the Broken Planet - Prologue;;;;;PlayStation 3
Raiders of the Lost Ark;;;;;PlayStation 3
RaidersSphere4th;;;;;PlayStation 3
RaiderZ;;;;;PlayStation 3
Rail Cargo Simulator;;;;;PlayStation 3
Rail Simulator;;;;;PlayStation 3
Railroad Pioneer;;;;;PlayStation 3
Railroad Tycoon;;;;;PlayStation 3
Railroad Tycoon 2;14.5;;;;PlayStation 3
Railroad Tycoon 2: Platinum;63.5;;;;PlayStation 3
Railroad Tycoon 3;26;;;;PlayStation 3
RailWorks 3: Train Simulator 2012;20;;;;PlayStation 3
Raimais;;;;;PlayStation 3
Rain (2013);3.5;;;;PlayStation 3
Rain Blood Chronicles: Mirage;7;;;;PlayStation 3
Rain Drops;;;;;PlayStation 3
Rain World;20;;;;PlayStation 3
Rainbow Hero;;;;;PlayStation 3
Rainbow Islands Evolution;;;;;PlayStation 3
Rainbow Islands Revolution;;;;;PlayStation 3
Rainbow Islands: Putty's Party;;;;;PlayStation 3
Rainbow Islands: The Story of Bubble Bobble 2;9;;;;PlayStation 3
Rainbow Moon;71;;;;PlayStation 3
Rainbow Rage Squad;;;;;PlayStation 3
Rainbow Web;4.5;;;;PlayStation 3
Rainbow Web 2;5;;;;PlayStation 3
Raindrop;;;;;PlayStation 3
Raining Blobs;1;;;;PlayStation 3
Raise Your Own Clone;;;;;PlayStation 3
Rake;4;;;;PlayStation 3
Rakion;;;;;PlayStation 3
Rakuen;7.5;;;;PlayStation 3
Rakugaki Showtime;0.6333333333333333;;;;PlayStation 3
Rakugakids;;;;;PlayStation 3
Rallisport Challenge;8;;;;PlayStation 3
Rallisport Challenge 2;;;;;PlayStation 3
Rally Copters;;;;;PlayStation 3
Rally Cross;;;;;PlayStation 3
Rally Cross 2;;;;;PlayStation 3
Rally de Africa;6;;;;PlayStation 3
Rally Fusion: Race of Champions;;;;;PlayStation 3
Rally Trophy;3.5;;;;PlayStation 3
RAM BOE;;;;;PlayStation 3
Ram Racing;;;;;PlayStation 3
Rama;10.5;;;;PlayStation 3
Rambo (1988);2.5;;;;PlayStation 3
Rambo III;0.9333333333333333;;;;PlayStation 3
Rambo: First Blood Part II;0.5;;;;PlayStation 3
Rambo: The Video Game;3.5;;;;PlayStation 3
Rammheart;;;;;PlayStation 3
Rampage;3;;;;PlayStation 3
Rampage 2: Universal Tour;5;;;;PlayStation 3
Rampage Knights;3.5;;;;PlayStation 3
Rampage Through Time;3;;;;PlayStation 3
Rampage World Tour;3.5;;;;PlayStation 3
Rampage: Total Destruction;5;;;;PlayStation 3
Rampart;3;;;;PlayStation 3
Rance VI;50;;;;PlayStation 3
Randal's Monday;13.5;;;;PlayStation 3
Random Access Murder;;;;;PlayStation 3
Random Heroes;2;;;;PlayStation 3
Random Heroes 2;3;;;;PlayStation 3
Random Journey;;;;;PlayStation 3
Ranger of the Jungle;;;;;PlayStation 3
Ranger X;2.5;;;;PlayStation 3
Rango;4.5;;;;PlayStation 3
Ranko Tsukigime's Longest Day;1;;;;PlayStation 3
Ranma 1/2: Battle Renaissance;;;;;PlayStation 3
Ranma 1/2: Chougi Ranbuhen;0.9;;;;PlayStation 3
Ranma 1/2: Chounai Gekitouhen;;;;;PlayStation 3
Ranma 1/2: Hard Battle;0.48333333333333334;;;;PlayStation 3
Rapala Fishing Frenzy 2009;;;;;PlayStation 3
Rapala Pro Bass Fishing 2010;;;;;PlayStation 3
Rapala Pro Fishing;;;;;PlayStation 3
Rapala: Tournament Fishing;;;;;PlayStation 3
RapeLay;2;;;;PlayStation 3
Rapid Racer;;;;;PlayStation 3
Rapid Reload;2;;;;PlayStation 3
Rapid Squirrel;;;;;PlayStation 3
Rappelz;;;;;PlayStation 3
Raptor Valley;;;;;PlayStation 3
Raptor: Call of the Shadows;3;;;;PlayStation 3
Rare Replay;;;;;PlayStation 3
Rascal;;;;;PlayStation 3
Raskulls;1.5;;;;PlayStation 3
Rastan;2;;;;PlayStation 3
Rastan Saga II;;;;;PlayStation 3
Rat Attack!;8;;;;PlayStation 3
Ratatouille;9;;;;PlayStation 3
Ratchet & Clank;12;;;;PlayStation 3
Ratchet & Clank (2016);10;;;;PlayStation 3
Ratchet & Clank Collection;;;;;PlayStation 3
Ratchet & Clank Future: A Crack in Time;10.5;;;;PlayStation 3
Ratchet & Clank Future: Quest for Booty;3.5;;;;PlayStation 3
Ratchet & Clank Future: Tools of Destruction;13;;;;PlayStation 3
Ratchet & Clank: All 4 One;10.5;;;;PlayStation 3
Ratchet & Clank: Full Frontal Assault;5;;;;PlayStation 3
Ratchet & Clank: Going Commando;13.5;;;;PlayStation 3
Ratchet & Clank: Into the Nexus;5.5;;;;PlayStation 3
Ratchet & Clank: Size Matters;7;;;;PlayStation 3
Ratchet & Clank: Up Your Arsenal;12;;;;PlayStation 3
Ratchet: Deadlocked;8;;;;PlayStation 3
Ratings War;2;;;;PlayStation 3
Rats: Time is running out!;;;;;PlayStation 3
Ratz Instagib;;;;;PlayStation 3
Ravaged;;;;;PlayStation 3
Ravaged Zombie Apocalypse;2.5;;;;PlayStation 3
Rave Master;3;;;;PlayStation 3
Rave Master: Special Attack Force!;;;;;PlayStation 3
Raven Squad: Operation Hidden Dagger;5.5;;;;PlayStation 3
Raven's Cry;;;;;PlayStation 3
Ravenloft: Stone Prophet;17;;;;PlayStation 3
Ravenloft: Strahd's Possession;14;;;;PlayStation 3
Ravenmark: Scourge of Estellion;;;;;PlayStation 3
Ravensword: Shadowlands;5.5;;;;PlayStation 3
Ravensword: The Fallen King;;;;;PlayStation 3
Raventhorne;;;;;PlayStation 3
Raving Rabbids: Travel in Time;;;;;PlayStation 3
Raw Danger!;10;;;;PlayStation 3
Raw Data;;;;;PlayStation 3
RawBots;;;;;PlayStation 3
Ray Bradbury's The Martian Chronicles Adventure Game;;;;;PlayStation 3
Ray Gigant;23.5;;;;PlayStation 3
Ray Tracers;;;;;PlayStation 3
Raycatcher;;;;;PlayStation 3
RayCrisis;0.48333333333333334;;;;PlayStation 3
RAYGUN COMMANDO VR;;;;;PlayStation 3
Rayman;10.5;;;;PlayStation 3
Rayman 2: Revolution;9.5;;;;PlayStation 3
Rayman 2: The Great Escape;8;;;;PlayStation 3
Rayman 3 (Handheld);9;;;;PlayStation 3
Rayman 3 HD;8.5;;;;PlayStation 3
Rayman 3: Hoodlum Havoc;10;;;;PlayStation 3
Rayman 3D;7.5;;;;PlayStation 3
Rayman Advance;18.5;;;;PlayStation 3
Rayman Adventures;4;;;;PlayStation 3
Rayman DS;12;;;;PlayStation 3
Rayman Fiesta Run;;;;;PlayStation 3
Rayman Forever;;;;;PlayStation 3
Rayman Jungle Run;3;;;;PlayStation 3
Rayman Legends;9.5;;;;PlayStation 3
Rayman M;4;;;;PlayStation 3
Rayman Origins;10.5;;;;PlayStation 3
Rayman Raving Rabbids;6;;;;PlayStation 3
Rayman Raving Rabbids (Handheld);;;;;PlayStation 3
Rayman Raving Rabbids 2;5;;;;PlayStation 3
Rayman Raving Rabbids: TV Party;;;;;PlayStation 3
Rayman Rush;;;;;PlayStation 3
Rayman: Hoodlums' Revenge;2.5;;;;PlayStation 3
RayStorm;0.9166666666666666;;;;PlayStation 3
Raywin;;;;;PlayStation 3
Rayxanber III;4;;;;PlayStation 3
Raze's Hell;;;;;PlayStation 3
Razenroth;2;;;;PlayStation 3
Razor2: Hidden Skies;1.5;;;;PlayStation 3
Razortron 2000;3.5;;;;PlayStation 3
RC Cars;12;;;;PlayStation 3
RC Helicopter;;;;;PlayStation 3
RC Mini Racers;;;;;PlayStation 3
RC Revenge;;;;;PlayStation 3
Re-Loaded;;;;;PlayStation 3
Re-Volt;8;;;;PlayStation 3
RE: Alistair++;;;;;PlayStation 3
Reach for the Sun;0.75;;;;PlayStation 3
Reading Blaster 2000;;;;;PlayStation 3
Ready 2 Rumble Boxing (Console);6;;;;PlayStation 3
Ready 2 Rumble Boxing: Round 2;1;;;;PlayStation 3
Ready, Aim, Tomatoes!;;;;;PlayStation 3
Reagan Gorbachev;;;;;PlayStation 3
Reah: Face the Unknown;;;;;PlayStation 3
Real Bout Fatal Fury;0.35;;;;PlayStation 3
Real Bout Fatal Fury 2: The Newcomers;0.35;;;;PlayStation 3
Real Bout Fatal Fury Special;0.25;;;;PlayStation 3
Real Bout Fatal Fury Special: Dominated Mind;0.5166666666666667;;;;PlayStation 3
Real Boxing;4.5;;;;PlayStation 3
Real Football 2009;;;;;PlayStation 3
Real Heroes: Firefighter;1;;;;PlayStation 3
Real Horror Stories: Ultimate Edition;0.9833333333333333;;;;PlayStation 3
Real Lives 2010;0.4166666666666667;;;;PlayStation 3
Real Racing;;;;;PlayStation 3
Real Racing 2;;;;;PlayStation 3
Real Racing 3;;;;;PlayStation 3
Real Steel;;;;;PlayStation 3
Real Warfare II: Northern Crusades;;;;;PlayStation 3
Real Warfare: 1242;;;;;PlayStation 3
Real World Racing;9.5;;;;PlayStation 3
Realities;;;;;PlayStation 3
Reality (2016);;;;;PlayStation 3
Reality Fighters;3.5;;;;PlayStation 3
Really Big Sky;5;;;;PlayStation 3
Realm (1996);;;;;PlayStation 3
Realm Grinder;;;;;PlayStation 3
Realm of Perpetual Guilds;;;;;PlayStation 3
Realm of the Mad God;;;;;PlayStation 3
Realms of Arkania: Blade of Destiny (1992);30;;;;PlayStation 3
Realms of Arkania: Blade of Destiny (2013);;;;;PlayStation 3
Realms of Arkania: Blade of Destiny (2013) - For the Gods DLC;;;;;PlayStation 3
Realms of Arkania: Blade of Destiny (2013) - Ogredeath DLC;;;;;PlayStation 3
Realms of Arkania: Shadows over Riva;30;;;;PlayStation 3
Realms of Arkania: Star Trail;30;;;;PlayStation 3
Realms of Chaos;1.5;;;;PlayStation 3
Realms of the Haunting;11;;;;PlayStation 3
realMyst;7;;;;PlayStation 3
realMyst: Masterpiece Edition;6.5;;;;PlayStation 3
Realpolitiks;;;;;PlayStation 3
RealSports Baseball;;;;;PlayStation 3
RealSports Boxing;0.03333333333333333;;;;PlayStation 3
Realsports Football;;;;;PlayStation 3
RealSports Tennis;;;;;PlayStation 3
RealSports Volleyball;;;;;PlayStation 3
Reaper: Tale of a Pale Swordsman;12;;;;PlayStation 3
Reassembly;;;;;PlayStation 3
Reaxxion;;;;;PlayStation 3
Rebel Galaxy;19.5;;;;PlayStation 3
Rebel Raiders: Operation Nighthawk;;;;;PlayStation 3
Rebelstar;;;;;PlayStation 3
Rebelstar: Tactical Command;35;;;;PlayStation 3
Rebirth of Island;;;;;PlayStation 3
ReBoot;;;;;PlayStation 3
Rebound;;;;;PlayStation 3
Rebuild;2;;;;PlayStation 3
Rebuild 2;;;;;PlayStation 3
Rebuild 3: Gangs of Deadsville;24;;;;PlayStation 3
Rec Room;;;;;PlayStation 3
Receiver;6;;;;PlayStation 3
Recettear: An Item Shop's Tale;13.5;;;;PlayStation 3
Reckless Racing;;;;;PlayStation 3
Reckless Ruckus;;;;;PlayStation 3
Recoil;10;;;;PlayStation 3
Record of Agarest War;86.5;;;;PlayStation 3
Record of Agarest War 2;69.5;;;;PlayStation 3
Record of Agarest War Zero;63.5;;;;PlayStation 3
Record of Lodoss War;24;;;;PlayStation 3
ReCore;12.5;;;;PlayStation 3
Recourse (2016);;;;;PlayStation 3
Recovery Search and Rescue Simulation;;;;;PlayStation 3
Recruits;;;;;PlayStation 3
Recursed;;;;;PlayStation 3
Recursion Deluxe;;;;;PlayStation 3
Red (2016);;;;;PlayStation 3
Red Alarm;;;;;PlayStation 3
Red Ball 4;;;;;PlayStation 3
Red Baron;5;;;;PlayStation 3
Red Baron 3D;;;;;PlayStation 3
Red Baron Pack;;;;;PlayStation 3
Red Bit Ninja;;;;;PlayStation 3
Red Comrades 2: For the Great Justice. Reloaded;;;;;PlayStation 3
Red Comrades Save the Galaxy: Reloaded;;;;;PlayStation 3
Red Crow Mysteries: Legion;3;;;;PlayStation 3
Red Crucible: Firestorm;;;;;PlayStation 3
RED CUBE VR;;;;;PlayStation 3
Red Dead Redemption;18;;;;PlayStation 3
Red Dead Redemption 2;;;;;PlayStation 3
Red Dead Redemption: Game of the Year Edition;;;;;PlayStation 3
Red Dead Redemption: Undead Nightmare DLC;7.5;;;;PlayStation 3
Red Dead Revolver;7;;;;PlayStation 3
Red Death;;;;;PlayStation 3
Red Dog: Superior Firepower;;;;;PlayStation 3
Red Earth;;;;;PlayStation 3
Red Eclipse;;;;;PlayStation 3
Red Faction;6;;;;PlayStation 3
Red Faction II;4.5;;;;PlayStation 3
Red Faction: Armageddon;8;;;;PlayStation 3
Red Faction: Armageddon - Path to War DLC;1.5;;;;PlayStation 3
Red Faction: Battlegrounds;1.5;;;;PlayStation 3
Red Faction: Guerrilla;13.5;;;;PlayStation 3
Red Faction: Guerrilla - Demons of the Badlands DLC;1.5;;;;PlayStation 3
RED Fuse: Rolling Explosive Device;;;;;PlayStation 3
Red Game Without A Great Name;;;;;PlayStation 3
Red Goblin: Cursed Forest;;;;;PlayStation 3
Red Goddess: Inner World;;;;;PlayStation 3
Red Johnson's Chronicles;;;;;PlayStation 3
Red Johnson's Chronicles: 1 + 2;;;;;PlayStation 3
Red Johnson's Chronicles: One Against All;;;;;PlayStation 3
Red Lake;2.5;;;;PlayStation 3
Red Ninja: End of Honor;11;;;;PlayStation 3
Red Obsidian Remnant;;;;;PlayStation 3
Red Ocean;4;;;;PlayStation 3
Red Orchestra 2: Heroes of Stalingrad;;;;;PlayStation 3
Red Orchestra: Ostfront 41-45;;;;;PlayStation 3
Red Risk;;;;;PlayStation 3
Red Rogue;;;;;PlayStation 3
Red Rope: Don't Fall Behind;;;;;PlayStation 3
Red Shift;;;;;PlayStation 3
Red Spider: Vengeance;;;;;PlayStation 3
Red Steel;8.5;;;;PlayStation 3
Red Steel 2;8;;;;PlayStation 3
Red Stone Online;;;;;PlayStation 3
Red String of Fate;1.5;;;;PlayStation 3
Red Trigger;0.45;;;;PlayStation 3
Red Zone;;;;;PlayStation 3
Red's Kingdom;;;;;PlayStation 3
Redactem;;;;;PlayStation 3
RedCard;;;;;PlayStation 3
REDCON;;;;;PlayStation 3
Redeemer (2017);7;;;;PlayStation 3
Redemption: Eternal Quest;;;;;PlayStation 3
Redemption: Saints And Sinners;;;;;PlayStation 3
Redie;6;;;;PlayStation 3
Redirection (2016);3;;;;PlayStation 3
Redline - Gang Warfare: 2066;;;;;PlayStation 3
Redneck Racers;;;;;PlayStation 3
Redneck Rampage Collection;;;;;PlayStation 3
Redneck Rampage Rides Again;;;;;PlayStation 3
Redneck Rampage: Suckin' Grits on Route 66;;;;;PlayStation 3
Redout;;;;;PlayStation 3
Redrum: Dead Diary;0.6166666666666667;;;;PlayStation 3
Redshift Blueshift;;;;;PlayStation 3
Redshirt;5;;;;PlayStation 3
Redswood VR;;;;;PlayStation 3
Redux: Dark Matters;;;;;PlayStation 3
REED;;;;;PlayStation 3
Reef Shot;;;;;PlayStation 3
Reel Fishing II;;;;;PlayStation 3
Reflecting Fate;;;;;PlayStation 3
Reflection of a Fallen Feather;;;;;PlayStation 3
Reflection of Mine;;;;;PlayStation 3
Reflections;;;;;PlayStation 3
RefleX;1;;;;PlayStation 3
RefRain: Prism Memories;;;;;PlayStation 3
Refunct;0.36666666666666664;;;;PlayStation 3
Regalia: Of Men and Monarchs;30;;;;PlayStation 3
Regency Solitaire;6.5;;;;PlayStation 3
Regeria Hope: Episode 1;1;;;;PlayStation 3
Reggie Jackson Baseball;;;;;PlayStation 3
Regimental Chess;;;;;PlayStation 3
Regular Show: Mordecai and Rigby in 8-Bit Land;3.5;;;;PlayStation 3
Reign of Bullets;;;;;PlayStation 3
Reign of Fire (Console);6;;;;PlayStation 3
Reign of Kings;;;;;PlayStation 3
Reign: Conflict of Nations;;;;;PlayStation 3
Reigning Cats;;;;;PlayStation 3
ReignMaker;8;;;;PlayStation 3
Reigns;4;;;;PlayStation 3
Rekoil;;;;;PlayStation 3
Relativity Wars;;;;;PlayStation 3
Relax Walk VR;;;;;PlayStation 3
Relaxation Balls;;;;;PlayStation 3
Relic Alone;;;;;PlayStation 3
Relic Hunters Zero;3.5;;;;PlayStation 3
Relica Online RPG;;;;;PlayStation 3
Relive;2.5;;;;PlayStation 3
Reload (2010);;;;;PlayStation 3
ReLoaded;;;;;PlayStation 3
Remember 11: The Age of Infinity;20;;;;PlayStation 3
Remember Me;9.5;;;;PlayStation 3
Rememoried;2.5;;;;PlayStation 3
Remnants of a Beautiful Day;;;;;PlayStation 3
Remnants of Isolation;3.5;;;;PlayStation 3
Remote Control;0.2833333333333333;;;;PlayStation 3
Ren and Stimpy: Space Cadet Adventures;0.55;;;;PlayStation 3
Renaissance Heroes;;;;;PlayStation 3
Rencounter;;;;;PlayStation 3
Rendering Ranger: R2;2;;;;PlayStation 3
Renegade;0.35;;;;PlayStation 3
Renegade Grounds: Episode 1;;;;;PlayStation 3
Renegade Ops;5;;;;PlayStation 3
Renegade Ops: Coldstrike DLC;1;;;;PlayStation 3
Renegade Racing;;;;;PlayStation 3
Renga Samurai Shogun!;;;;;PlayStation 3
Rengoku II: The Stairway to H.E.A.V.E.N.;13;;;;PlayStation 3
Rengoku: The Tower of Purgatory;4;;;;PlayStation 3
Renoir;6.5;;;;PlayStation 3
Renowned Explorers: International Society;5.5;;;;PlayStation 3
Rent A Hero (1999);;;;;PlayStation 3
Rent-A-Hero (1991);;;;;PlayStation 3
Reperfection: Volume 1;;;;;PlayStation 3
RePete;2.5;;;;PlayStation 3
Replay: VHS is not dead;;;;;PlayStation 3
Replica;1;;;;PlayStation 3
Replica Island;;;;;PlayStation 3
Reprisal;5;;;;PlayStation 3
Reprisal Universe;;;;;PlayStation 3
Reptilian Rebellion;;;;;PlayStation 3
Reptilians Must Die!;;;;;PlayStation 3
Republic: The Revolution;;;;;PlayStation 3
Republique;9;;;;PlayStation 3
Republique: Episode 1 - Exordium;2;;;;PlayStation 3
Republique: Episode 2 - Metamorphosis;2.5;;;;PlayStation 3
Republique: Episode 3 - Ones & Zeroes;2;;;;PlayStation 3
Republique: Episode 4 - God's Acre;;;;;PlayStation 3
Republique: Episode 5 - Terminus;;;;;PlayStation 3
Repulsanoid;;;;;PlayStation 3
Requiem: Avenging Angel;8.5;;;;PlayStation 3
Requiem: Rise of the Reaver;;;;;PlayStation 3
RESCUE 2: Everyday Heroes;;;;;PlayStation 3
Rescue at Rigel;0.45;;;;PlayStation 3
Rescue Bear Operation;;;;;PlayStation 3
Rescue Love Revenge;;;;;PlayStation 3
Rescue Lucy;;;;;PlayStation 3
Rescue Mission;;;;;PlayStation 3
Rescue on Fractalus!;;;;;PlayStation 3
Rescue Shot;;;;;PlayStation 3
Rescue Team;5;;;;PlayStation 3
Rescue Team 2;;;;;PlayStation 3
Rescue Team 3;;;;;PlayStation 3
Rescue Team 5;7;;;;PlayStation 3
Rescue Team 7;;;;;PlayStation 3
Rescue the Great Demon 2;;;;;PlayStation 3
Rescue Your Chickens;;;;;PlayStation 3
Rescue: Everyday Heroes;4.5;;;;PlayStation 3
Rescue: The Embassy Mission;0.5;;;;PlayStation 3
Reservoir Dogs;3.5;;;;PlayStation 3
Reservoir Dogs: Bloody Days;;;;;PlayStation 3
Reset 1-1;;;;;PlayStation 3
Reset Generation;;;;;PlayStation 3
Resette's Prescription: Book of Memory, Swaying Scale;;;;;PlayStation 3
Resident Evil;6.5;;;;PlayStation 3
Resident Evil (2002);11;;;;PlayStation 3
Resident Evil 2;5.5;;;;PlayStation 3
Resident Evil 3: Nemesis;6.5;;;;PlayStation 3
Resident Evil 4;16;;;;PlayStation 3
Resident Evil 5;12;;;;PlayStation 3
Resident Evil 5: Desperate Escape DLC;1;;;;PlayStation 3
Resident Evil 5: Lost In Nightmares DLC;1;;;;PlayStation 3
Resident Evil 6;22;;;;PlayStation 3
Resident Evil 7 Teaser: Beginning Hour;0.5;;;;PlayStation 3
Resident Evil 7: Biohazard;9;;;;PlayStation 3
Resident Evil 7: Biohazard - Banned Footage Vol. 1;;;;;PlayStation 3
Resident Evil 7: Biohazard - Banned Footage Vol. 2;;;;;PlayStation 3
Resident Evil 7: Biohazard - End of Zoe;;;;;PlayStation 3
Resident Evil 7: Biohazard - Not a Hero;;;;;PlayStation 3
Resident Evil Code: Veronica;11.5;;;;PlayStation 3
Resident Evil Code: Veronica X;12;;;;PlayStation 3
Resident Evil Gaiden;4.5;;;;PlayStation 3
Resident Evil Outbreak;11;;;;PlayStation 3
Resident Evil Outbreak File 2;10.5;;;;PlayStation 3
Resident Evil Zero;11.5;;;;PlayStation 3
Resident Evil Zero: HD Remaster;9;;;;PlayStation 3
Resident Evil: Dead Aim;3.5;;;;PlayStation 3
Resident Evil: Deadly Silence;6;;;;PlayStation 3
Resident Evil: Director's Cut;6.5;;;;PlayStation 3
