title;main_story_length;mainextra_length;completionist_length;combined_length;platform
300: March to Glory;7.5;;;;iOS
3030 Deathwar;;;;;iOS
3030 Deathwar Redux;;;;;iOS
3079;3;;;;iOS
3089;6.5;;;;iOS
35MM;4;;;;iOS
3D Chess;;;;;iOS
3D Classics: Excitebike;1.5;;;;iOS
3D Classics: Kid Icarus;4;;;;iOS
3D Dot Game Heroes;15.5;;;;iOS
3D Ecco the Dolphin;;;;;iOS
3D Fantasy Zone II W;1.5;;;;iOS
3D Galaxy Force II;0.45;;;;iOS
3D Gunstar Heroes;2;;;;iOS
3D Maze Walker;1;;;;iOS
3D Mini Golf;;;;;iOS
3D Pinball Express;;;;;iOS
3D Pinball for Windows - Space Cadet;;;;;iOS
3D Tetris;;;;;iOS
3D Tunnel;;;;;iOS
3D Ultra MiniGolf Adventures;;;;;iOS
3D Ultra MiniGolf Adventures 2;;;;;iOS
3DRPG;;;;;iOS
3rd Super Robot Wars Alpha: To the End of the Galaxy;;;;;iOS
3rd Super Robot Wars Z: Tengoku-hen;62.5;;;;iOS
3Souls;2;;;;iOS
3SwitcheD;1.5;;;;iOS
3Xtreme;0.6833333333333333;;;;iOS
4 Elements;8.5;;;;iOS
4 Elements II;6;;;;iOS
4 Pics 1 Word;;;;;iOS
4 Wheel Drive;0.6666666666666666;;;;iOS
4 Wheel Thunder;;;;;iOS
4-in-1 Fun Pak;;;;;iOS
40 Winks;6;;;;iOS
400 Years;0.31666666666666665;;;;iOS
404Sight;0.8166666666666667;;;;iOS
4089: Ghost Within;;;;;iOS
42 All-Time Classics;;;;;iOS
4D Prince of Persia;;;;;iOS
4D Sports Boxing;;;;;iOS
4D Sports Tennis;;;;;iOS
4PM;0.43333333333333335;;;;iOS
4V4 Arashi Get The Goal;;;;;iOS
4x4 Dream Race;;;;;iOS
4x4 EVO 2;;;;;iOS
4x4 Evolution;12.5;;;;iOS
4x4 Hummer;7;;;;iOS
5 Days a Stranger;3;;;;iOS
5 Minutes Rage;;;;;iOS
50 Cent: Blood on the Sand;6;;;;iOS
50 Cent: Bulletproof;6;;;;iOS
50 years;;;;;iOS
500 Years: Act 1;;;;;iOS
5089: The Action RPG;;;;;iOS
6 Day Assassin;0.25;;;;iOS
6 Days a Sacrifice;3;;;;iOS
6 Degrees of Sabotage;0.08333333333333333;;;;iOS
60 Seconds Burger Run;0.08333333333333333;;;;iOS
60 Seconds Santa Run;0.25;;;;iOS
60 Seconds!;2;;;;iOS
6180 the moon;1;;;;iOS
64.0;;;;;iOS
688(I) Hunter/Killer;9.5;;;;iOS
69 Ways to Kill a Zombie;;;;;iOS
7 Blades;;;;;iOS
7 Days a Skeptic;3;;;;iOS
7 Days to Die;30;;;;iOS
7 Dni a 7 noci;;;;;iOS
7 Grand Steps, Step 1: What Ancients Begat;8;;;;iOS
7 Mages;;;;;iOS
7 Sins;10;;;;iOS
7 Wonders II;6;;;;iOS
7 Wonders of the Ancient World;7;;;;iOS
7 Wonders: Ancient Alien Makeover;8;;;;iOS
7 Wonders: Magical Mystery Tour;7;;;;iOS
7 Wonders: Treasures of Seven;7;;;;iOS
7,62 High Calibre;;;;;iOS
7.62mm;;;;;iOS
720 Degrees;;;;;iOS
7554;7;;;;iOS
7D Game;;;;;iOS
7th Dragon;35;;;;iOS
7th Dragon 2020;34;;;;iOS
7th Dragon 2020-II;;;;;iOS
7th Dragon III Code: VFD;32;;;;iOS
7th Legion;;;;;iOS
8 Ball Pool Multiplayer;;;;;iOS
8 Eyes;2.5;;;;iOS
8-Bit Adventures: The Forgotten Journey;;;;;iOS
8-bit Armies;;;;;iOS
8-Bit Armies: Arena;;;;;iOS
8-Bit Bayonetta;0.2833333333333333;;;;iOS
8-Bit Commando;0.8666666666666667;;;;iOS
8-bit Hordes;;;;;iOS
8-Bit Invaders!;25;;;;iOS
8-Bit Killer;;;;;iOS
8-bit Mario World - Desert Mario;0.08333333333333333;;;;iOS
80 Days;3;;;;iOS
80 Days: Around the World Adventure;8;;;;iOS
868-HACK;2;;;;iOS
88 Heroes;;;;;iOS
8Ball Allstars;;;;;iOS
8Bit Fiesta;2;;;;iOS
8BitBoy;4.5;;;;iOS
8BitMMO;;;;;iOS
8DAYS;;;;;iOS
8i;;;;;iOS
8infinity;;;;;iOS
9 Clues 2: The Ward;3;;;;iOS
9 Clues: The Secret of Serpent Creek;2.5;;;;iOS
9.03m;;;;;iOS
90 Minute Fever;;;;;iOS
90 Minutes;;;;;iOS
911 Operator;8.5;;;;iOS
99 Levels to Hell;8;;;;iOS
99 Waves to Die;;;;;iOS
999: Nine Hours, Nine Persons, Nine Doors;9.5;;;;iOS
99Vidas;2.5;;;;iOS
9:05;0.25;;;;iOS
9th Company: Roots of Terror;4;;;;iOS
9th Dawn;;;;;iOS
:the game:;0.4166666666666667;;;;iOS
A Bastard's Tale;;;;;iOS
A Bird Story;;;;;iOS
A Blind Legend;2;;;;iOS
A Box Full Of Joy;;;;;iOS
A Boy and His Blob;9;;;;iOS
A Boy and His Blob: Trouble on Blobolonia;0.8666666666666667;;;;iOS
A Bug's Life;5.5;;;;iOS
A Bug's Life (GBC);3;;;;iOS
A Camp in the Woods;;;;;iOS
A Chair in a Room: Greenwater;2;;;;iOS
A City Sleeps;1;;;;iOS
A Collection of Activision Classic Games for the Atari 2600;;;;;iOS
A Cosmic Forest;;;;;iOS
A Dark Room;3.5;;;;iOS
A Date in the Park;0.6166666666666667;;;;iOS
A Dead World's Dream;;;;;iOS
A Demon's Game - Episode 1;;;;;iOS
A Detective's Novel;1.5;;;;iOS
A Druid's Duel;13;;;;iOS
A Duck Has An Adventure;;;;;iOS
A Fairy Tale;;;;;iOS
A Family of Grave Diggers;;;;;iOS
A Farewell to Dragons;;;;;iOS
A Fistful of Gun;3;;;;iOS
A Flipping Good Time;;;;;iOS
A Foretold Affair;4;;;;iOS
A Game of Changes;;;;;iOS
A Game of Dwarves;30;;;;iOS
A Game of Thrones: Genesis;11.5;;;;iOS
A Girls Fabric Face;;;;;iOS
A Goddess for Free;0.7166666666666667;;;;iOS
A Golden Wake;5;;;;iOS
A Goo Adventure;;;;;iOS
A Good Snowman is Hard to Build;1.5;;;;iOS
A Grande Bagunca Espacial - The Big Space Mess;;;;;iOS
A Hat in Time;8;;;;iOS
A Healer Only Lives Twice;3;;;;iOS
A Hole New World;;;;;iOS
A House of Many Doors;20;;;;iOS
A Jax;;;;;iOS
A Kappa's Trail;6;;;;iOS
A King's Tale: Final Fantasy XV;1.5;;;;iOS
A Kingdom for Keflings;6;;;;iOS
A Kiss for the Petals: Remembering How We Met;;;;;iOS
A Land Fit For Heroes;;;;;iOS
A Legend of Luca;;;;;iOS
A Lenda do Heroi;;;;;iOS
A Little Lily Princess;6.5;;;;iOS
A Lonely Moon;0.08333333333333333;;;;iOS
A Long Road Home;;;;;iOS
A Long Way Home;;;;;iOS
A Magical High School Girl;;;;;iOS
A Mind Forever Voyaging;;;;;iOS
A Mortician's Tale;0.9666666666666667;;;;iOS
A Mother's Inferno;0.25;;;;iOS
A Mysterious Thief;;;;;iOS
A Nation of Wind;;;;;iOS
A New Beginning;9;;;;iOS
A New Reckoning;0.25;;;;iOS
A Nightmare on Elm Street;2;;;;iOS
A Noble Circle;0.25;;;;iOS
A Normal Lost Phone;1.5;;;;iOS
A Number's life;;;;;iOS
A Pixel Story;;;;;iOS
A Princess' Tale;;;;;iOS
A Quiver of Crows;;;;;iOS
A Robot Named Fight!;;;;;iOS
A Rose in the Twilight;;;;;iOS
A Second Face;2.5;;;;iOS
A Sirius Game;;;;;iOS
A Sound of Thunder;4;;;;iOS
A Space Shooter For Two Bucks!;5.5;;;;iOS
A Step Into Darkness;;;;;iOS
A Story About My Uncle;3;;;;iOS
A Stroke of Fate: Operation Bunker;;;;;iOS
A Stroke of Fate: Operation Valkyrie;7;;;;iOS
A Study in Steampunk: Choice by Gaslight;;;;;iOS
A Sweet Meeting;;;;;iOS
A tale about life, death and a looser;;;;;iOS
A Tale of Caos: Overture;;;;;iOS
A Tale of Two Kingdoms;;;;;iOS
A Trip to Yugoslavia;;;;;iOS
A Truth to be Told;;;;;iOS
A Valley Without Wind;16.5;;;;iOS
A Valley Without Wind 2;9.5;;;;iOS
A Vampyre Story;7.5;;;;iOS
A Verdant Hue;;;;;iOS
A Virus Named Tom;4;;;;iOS
A Walk in the Dark;3;;;;iOS
A Way Out;;;;;iOS
A Week of Circus Terror;;;;;iOS
A Week of Garfield;1.5;;;;iOS
A Wild Catgirl Appears!;0.95;;;;iOS
A Wise Use of Time;5;;;;iOS
A Witch's Tale;16;;;;iOS
A Wizard's Lizard;1.5;;;;iOS
A Wizard's Odyssey;;;;;iOS
A Wolf in Autumn;0.6666666666666666;;;;iOS
A World of Keflings;7;;;;iOS
A World of Keflings - It Came From Outer Space;;;;;iOS
A World of Keflings - Sugar, Spice and Not So Nice;;;;;iOS
A World of Keflings - The Curse of the Zombiesaurus;;;;;iOS
A*M*E*R*I*C*A;;;;;iOS
A-10 Tank Killer;;;;;iOS
A-10 VR;;;;;iOS
A-Gents;;;;;iOS
A-Men;9;;;;iOS
A-Men 2;14;;;;iOS
A-Train;;;;;iOS
A-Train 3D: City Simulator;;;;;iOS
A-Train 6;;;;;iOS
A-Train 8;;;;;iOS
A-Train 9;;;;;iOS
A-Train 9 V4.0: Japan Rail Simulator;;;;;iOS
A-Train HX;;;;;iOS
A.D. 2044;;;;;iOS
A.I. Invasion;;;;;iOS
A.I. Space Corps;;;;;iOS
A.I.M. Racing;14;;;;iOS
A.I.M.2 Clan Wars;;;;;iOS
A.R.C. Squadron;3;;;;iOS
A.R.E.S. Extinction Agenda EX;4;;;;iOS
A.R.E.S.: Extinction Agenda;2;;;;iOS
A.V.A: Alliance of Valiant Arms;;;;;iOS
A.V.G.M.;0.5;;;;iOS
A.W.: Phoenix Festa;4;;;;iOS
A/X-101;1;;;;iOS
A2 Racer III - Europa Tour;;;;;iOS
A2Be;;;;;iOS
AaAaAA!!! - A Reckless Disregard for Gravity;5;;;;iOS
AaaaAAaaaAAAaaAAAAaAAAAA!!! Force = Mass x Acceleration;;;;;iOS
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome;4.5;;;;iOS
Aaahh!!! Real Monsters;2.5;;;;iOS
Aabs Animal;0.08333333333333333;;;;iOS
Aaero;1.5;;;;iOS
Aarklash: Legacy;16;;;;iOS
Aaru's Awakening;2.5;;;;iOS
Abadox: The Deadly Inner War;0.6333333333333333;;;;iOS
Abalone;;;;;iOS
Abandoned;0.9333333333333333;;;;iOS
Abandoned Knight;;;;;iOS
Abandoned Places 2;;;;;iOS
Abandoned Places: A Time for Heroes;;;;;iOS
Abandoned: Chestnut Lodge Asylum;;;;;iOS
Abarenbou Princess;;;;;iOS
ABC Coloring Town;1.5;;;;iOS
Abducted;;;;;iOS
Abduction Action! Plus;;;;;iOS
Abduction Bit;;;;;iOS
ABE VR;;;;;iOS
Aberoth;;;;;iOS
Able Black;;;;;iOS
ABO MANDO;;;;;iOS
Abobo's Big Adventure;1.5;;;;iOS
Abode;0.75;;;;iOS
Abomination Tower;;;;;iOS
Abomination: The Nemesis Project;38;;;;iOS
About a Fox;0.08333333333333333;;;;iOS
About Elise;;;;;iOS
About Love, Hate and the other ones;5.5;;;;iOS
Above (2016);;;;;iOS
ABRACA: Imagic Games;;;;;iOS
Abrix for kids;;;;;iOS
Abrix the Robot;;;;;iOS
Absconding Zatwor;2;;;;iOS
Absence;;;;;iOS
Absent;4.5;;;;iOS
Absoloot;;;;;iOS
Absolute Drift;2;;;;iOS
Absolver;;;;;iOS
Abuse;;;;;iOS
Abyss;1;;;;iOS
Abyss Odyssey;4;;;;iOS
Abyss Raiders: Uncharted;;;;;iOS
Abyss: The Wraiths of Eden;3;;;;iOS
ABZÃ;2;;;;iOS
AC/DC Live: Rock Band Track Pack;4;;;;iOS
Academagia;;;;;iOS
Academagia: The Making of Mages;;;;;iOS
Acan's Call: Act 1;;;;;iOS
Accel World vs. Sword Art Online;25;;;;iOS
Acceleration of Suguri X Edition;0.95;;;;iOS
Acceptance (2016);;;;;iOS
Access Denied;1;;;;iOS
Accidental Runner;;;;;iOS
Accounting (2016);0.4666666666666667;;;;iOS
Ace;;;;;iOS
ACE - Arena: Cyber Evolution;;;;;iOS
ACE Academy;8;;;;iOS
Ace Attorney Investigations: Miles Edgeworth;23.5;;;;iOS
Ace Combat 04: Shattered Skies;4;;;;iOS
Ace Combat 2;4;;;;iOS
Ace Combat 3: Electrosphere;4.5;;;;iOS
Ace Combat 5: The Unsung War;6.5;;;;iOS
Ace Combat 6: Fires of Liberation;12;;;;iOS
Ace Combat Advance;;;;;iOS
Ace Combat Infinity;4;;;;iOS
Ace Combat X: Skies of Deception;4;;;;iOS
Ace Combat Zero: The Belkan War;4.5;;;;iOS
Ace Combat: Assault Horizon;8.5;;;;iOS
Ace Combat: Assault Horizon - Enhanced Edition;8;;;;iOS
Ace Combat: Assault Horizon Legacy;4.5;;;;iOS
Ace Combat: Joint Assault;7;;;;iOS
Ace Lightning;;;;;iOS
Ace Mathician;;;;;iOS
Ace of Aces;;;;;iOS
Ace of Protectors;;;;;iOS
Ace of Seafood;3.5;;;;iOS
Ace of Spades;;;;;iOS
Ace of Words;;;;;iOS
Ace Ventura: The CD-Rom Game;3;;;;iOS
Aces High III;;;;;iOS
Aces of the Galaxy;1;;;;iOS
Aces of the Luftwaffe;10.5;;;;iOS
Aces of the Pacific;;;;;iOS
Aces of the Pacific - WWII: 1946 - Expansion Disk;;;;;iOS
Aces of War;;;;;iOS
Aces Wild: Manic Brawling Action!;2.5;;;;iOS
Achievement Unlocked;0.31666666666666665;;;;iOS
Achievement Unlocked 2;0.8166666666666667;;;;iOS
Achievement Unlocked 3;2.5;;;;iOS
Achron;70;;;;iOS
Achtung Panzer: Kharkov 1943;;;;;iOS
Acid Drift: Solar;;;;;iOS
Acid Drop;;;;;iOS
Ack-Ack Attack!;;;;;iOS
Aconcagua;3.5;;;;iOS
Acorn Assault: Rodent Revolution;;;;;iOS
Acro Storm;;;;;iOS
Acrobat Mission;0.75;;;;iOS
Acrophobia;;;;;iOS
Across Age DX;;;;;iOS
Across The Line;;;;;iOS
Across The Moment;;;;;iOS
Across the Rhine;;;;;iOS
AcrossFlash;;;;;iOS
Act of Aggression;18.5;;;;iOS
Act of War: Direct Action;13.5;;;;iOS
Act of War: High Treason;;;;;iOS
Action 52;;;;;iOS
Action Alien;;;;;iOS
Action Bass;5.5;;;;iOS
Action Fighter;;;;;iOS
Action Fist;;;;;iOS
Action Henk;4;;;;iOS
Action Man: Destruction X;;;;;iOS
Action Man: Operation Extreme;;;;;iOS
Action Man: Raid on Island X;;;;;iOS
Action Man: Robot Atak;3;;;;iOS
Action Pachio;;;;;iOS
Activate the Three Artefacts and then Leave;3;;;;iOS
Activision Anthology;;;;;iOS
ActRaiser;4.5;;;;iOS
ActRaiser 2;4.5;;;;iOS
Actrazer;;;;;iOS
Actua Golf 3;;;;;iOS
Actua Soccer;;;;;iOS
Actua Soccer 3;;;;;iOS
Actua Soccer: Club Edition;;;;;iOS
Actual Crimes: Jack the ripper;2;;;;iOS
Actual Sunlight;1;;;;iOS
Adagio;;;;;iOS
Adam and Eve;;;;;iOS
Adam and Eve: The Game - Chapter 1;;;;;iOS
Adam Wolfe;5;;;;iOS
Adam's Venture - Episode 1: The Search for the Lost Garden;1.5;;;;iOS
Adam's Venture - Episode 2: Solomon's Secret;2;;;;iOS
Adam's Venture - Episode 3: Revelations;2;;;;iOS
Adam's Venture Chronicles;5;;;;iOS
Adam's Venture: Origins;4.5;;;;iOS
Addams Family Values;;;;;iOS
Adera;;;;;iOS
Adibou 2;5;;;;iOS
Adiboud'chou Ã  la Campagne;;;;;iOS
Admiral Nemo;;;;;iOS
ADOM: Ancient Domains Of Mystery;;;;;iOS
Adorables;;;;;iOS
Adrenalin Misfits;;;;;iOS
Adrenaline Adventure;;;;;iOS
Adrenix;;;;;iOS
Adrift;4.5;;;;iOS
Advance Guardian Heroes;3;;;;iOS
Advance Wars;13;;;;iOS
Advance Wars 2: Black Hole Rising;27.5;;;;iOS
Advance Wars: Days of Ruin;19.5;;;;iOS
Advance Wars: Dual Strike;24.5;;;;iOS
Advanced Dungeons & Dragons: Heroes of the Lance;;;;;iOS
Advanced Dungeons & Dragons: Slayer;;;;;iOS
Advanced Dungeons & Dragons: Treasure of Tarmin;7.5;;;;iOS
Advanced Tactics: Gold;;;;;iOS
Advanced V.G. 2;0.25;;;;iOS
Advent;;;;;iOS
Advent Rising;8;;;;iOS
