title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Blitzkrieg 2;20;;;;PlayStation 2
Blob From Space;0.25;;;;PlayStation 2
Blobby Volley 2;;;;;PlayStation 2
Block Block;1;;;;PlayStation 2
Block Blowout;;;;;PlayStation 2
Block Buster;;;;;PlayStation 2
Block Kuzushi;2;;;;PlayStation 2
Block Legend DX;;;;;PlayStation 2
Block N Load;;;;;PlayStation 2
Block Story;;;;;PlayStation 2
Block Survival: Legend of the Lost Islands;;;;;PlayStation 2
Block Zombies;;;;;PlayStation 2
Block'hood;9.5;;;;PlayStation 2
Blockade 3D;;;;;PlayStation 2
BlockAid;;;;;PlayStation 2
Blockids;;;;;PlayStation 2
Blockland;;;;;PlayStation 2
Blockout;;;;;PlayStation 2
Blocks (2017);;;;;PlayStation 2
Blocks That Matter;5.5;;;;PlayStation 2
Blockscape;;;;;PlayStation 2
Blockstorm;;;;;PlayStation 2
Blockwick 2;9;;;;PlayStation 2
Blocky Roads;4;;;;PlayStation 2
Blogger;0.5833333333333334;;;;PlayStation 2
Blok Drop U;;;;;PlayStation 2
Blokus;;;;;PlayStation 2
Bloo Kid 2;3;;;;PlayStation 2
Blood;9.5;;;;PlayStation 2
Blood & Gold: Caribbean!;;;;;PlayStation 2
Blood & Laurels;;;;;PlayStation 2
Blood & Magic;;;;;PlayStation 2
Blood Alloy: Reborn;;;;;PlayStation 2
Blood and Bacon;3;;;;PlayStation 2
Blood Bowl (1995);;;;;PlayStation 2
Blood Bowl (2009);5;;;;PlayStation 2
Blood Bowl 2;16.5;;;;PlayStation 2
Blood Bowl: Chaos Edition;36.5;;;;PlayStation 2
Blood Brothers;;;;;PlayStation 2
Blood Code;;;;;PlayStation 2
Blood Drive;;;;;PlayStation 2
Blood Feed;;;;;PlayStation 2
Blood Gear;;;;;PlayStation 2
Blood II: The Chosen;9;;;;PlayStation 2
Blood II: The Chosen + Expansion;;;;;PlayStation 2
Blood II: The Chosen - The Nightmare Levels;2;;;;PlayStation 2
Blood Knights;4;;;;PlayStation 2
Blood Money;;;;;PlayStation 2
Blood of Bahamut;;;;;PlayStation 2
Blood of Magic;;;;;PlayStation 2
Blood of Old;;;;;PlayStation 2
Blood of the Werewolf;4.5;;;;PlayStation 2
Blood Omen 2: Legacy of Kain;12;;;;PlayStation 2
Blood Omen: Legacy of Kain;12.5;;;;PlayStation 2
Blood Star;;;;;PlayStation 2
Blood Wake;8;;;;PlayStation 2
Blood Will Tell;14;;;;PlayStation 2
Blood: One Unit Whole Blood;;;;;PlayStation 2
Blood: Plasma Pak;2;;;;PlayStation 2
Bloodbath;;;;;PlayStation 2
Bloodbath Kavkaz;5;;;;PlayStation 2
Bloodborne;35;;;;PlayStation 2
Bloodborne: Game of the Year Edition;33;;;;PlayStation 2
Bloodborne: The Old Hunters;9;;;;PlayStation 2
Bloodforge;6;;;;PlayStation 2
BloodGate;;;;;PlayStation 2
Bloodline (2005);;;;;PlayStation 2
Bloodline Champions;;;;;PlayStation 2
BloodLust Shadowhunter;;;;;PlayStation 2
BloodNet;;;;;PlayStation 2
BloodRayne;7;;;;PlayStation 2
BloodRayne 2;9;;;;PlayStation 2
BloodRayne: Betrayal;4.5;;;;PlayStation 2
BloodRealm: Battlegrounds;;;;;PlayStation 2
Bloodsports.TV;;;;;PlayStation 2
Bloodstained: Ritual of the Night;;;;;PlayStation 2
Bloodstone: An Epic Dwarven Tale;;;;;PlayStation 2
Bloodwood Reload;1;;;;PlayStation 2
Bloodwych;;;;;PlayStation 2
Bloody Boobs;0.65;;;;PlayStation 2
Bloody Good Time;2;;;;PlayStation 2
