title;main_story_length;mainextra_length;completionist_length;combined_length;platform
3D Ecco the Dolphin;;;;;Android
3D Fantasy Zone II W;1.5;;;;Android
3D Galaxy Force II;0.45;;;;Android
3D Gunstar Heroes;2;;;;Android
3D Maze Walker;1;;;;Android
3D Mini Golf;;;;;Android
3D Pinball Express;;;;;Android
3D Pinball for Windows - Space Cadet;;;;;Android
3D Tetris;;;;;Android
3D Tunnel;;;;;Android
3D Ultra MiniGolf Adventures;;;;;Android
3D Ultra MiniGolf Adventures 2;;;;;Android
3DRPG;;;;;Android
3rd Super Robot Wars Alpha: To the End of the Galaxy;;;;;Android
3rd Super Robot Wars Z: Tengoku-hen;62.5;;;;Android
3Souls;2;;;;Android
3SwitcheD;1.5;;;;Android
3Xtreme;0.6833333333333333;;;;Android
4 Elements;8.5;;;;Android
4 Elements II;6;;;;Android
4 Pics 1 Word;;;;;Android
4 Wheel Drive;0.6666666666666666;;;;Android
4 Wheel Thunder;;;;;Android
4-in-1 Fun Pak;;;;;Android
40 Winks;6;;;;Android
400 Years;0.31666666666666665;;;;Android
404Sight;0.8166666666666667;;;;Android
4089: Ghost Within;;;;;Android
42 All-Time Classics;;;;;Android
4D Prince of Persia;;;;;Android
4D Sports Boxing;;;;;Android
4D Sports Tennis;;;;;Android
4PM;0.43333333333333335;;;;Android
4V4 Arashi Get The Goal;;;;;Android
4x4 Dream Race;;;;;Android
4x4 EVO 2;;;;;Android
4x4 Evolution;12.5;;;;Android
4x4 Hummer;7;;;;Android
5 Days a Stranger;3;;;;Android
5 Minutes Rage;;;;;Android
50 Cent: Blood on the Sand;6;;;;Android
50 Cent: Bulletproof;6;;;;Android
50 years;;;;;Android
500 Years: Act 1;;;;;Android
5089: The Action RPG;;;;;Android
6 Day Assassin;0.25;;;;Android
6 Days a Sacrifice;3;;;;Android
6 Degrees of Sabotage;0.08333333333333333;;;;Android
60 Seconds Burger Run;0.08333333333333333;;;;Android
60 Seconds Santa Run;0.25;;;;Android
60 Seconds!;2;;;;Android
6180 the moon;1;;;;Android
64.0;;;;;Android
688(I) Hunter/Killer;9.5;;;;Android
69 Ways to Kill a Zombie;;;;;Android
7 Blades;;;;;Android
7 Days a Skeptic;3;;;;Android
7 Days to Die;30;;;;Android
7 Dni a 7 noci;;;;;Android
7 Grand Steps, Step 1: What Ancients Begat;8;;;;Android
7 Mages;;;;;Android
7 Sins;10;;;;Android
7 Wonders II;6;;;;Android
7 Wonders of the Ancient World;7;;;;Android
7 Wonders: Ancient Alien Makeover;8;;;;Android
7 Wonders: Magical Mystery Tour;7;;;;Android
7 Wonders: Treasures of Seven;7;;;;Android
7,62 High Calibre;;;;;Android
7.62mm;;;;;Android
720 Degrees;;;;;Android
7554;7;;;;Android
7D Game;;;;;Android
7th Dragon;35;;;;Android
7th Dragon 2020;34;;;;Android
7th Dragon 2020-II;;;;;Android
7th Dragon III Code: VFD;32;;;;Android
7th Legion;;;;;Android
8 Ball Pool Multiplayer;;;;;Android
8 Eyes;2.5;;;;Android
8-Bit Adventures: The Forgotten Journey;;;;;Android
8-bit Armies;;;;;Android
8-Bit Armies: Arena;;;;;Android
8-Bit Bayonetta;0.2833333333333333;;;;Android
8-Bit Commando;0.8666666666666667;;;;Android
8-bit Hordes;;;;;Android
8-Bit Invaders!;25;;;;Android
8-Bit Killer;;;;;Android
8-bit Mario World - Desert Mario;0.08333333333333333;;;;Android
80 Days;3;;;;Android
80 Days: Around the World Adventure;8;;;;Android
868-HACK;2;;;;Android
88 Heroes;;;;;Android
8Ball Allstars;;;;;Android
8Bit Fiesta;2;;;;Android
8BitBoy;4.5;;;;Android
8BitMMO;;;;;Android
8DAYS;;;;;Android
8i;;;;;Android
8infinity;;;;;Android
9 Clues 2: The Ward;3;;;;Android
9 Clues: The Secret of Serpent Creek;2.5;;;;Android
9.03m;;;;;Android
90 Minute Fever;;;;;Android
90 Minutes;;;;;Android
911 Operator;8.5;;;;Android
99 Levels to Hell;8;;;;Android
99 Waves to Die;;;;;Android
999: Nine Hours, Nine Persons, Nine Doors;9.5;;;;Android
99Vidas;2.5;;;;Android
9:05;0.25;;;;Android
9th Company: Roots of Terror;4;;;;Android
9th Dawn;;;;;Android
:the game:;0.4166666666666667;;;;Android
A Bastard's Tale;;;;;Android
A Bird Story;;;;;Android
A Blind Legend;2;;;;Android
A Box Full Of Joy;;;;;Android
A Boy and His Blob;9;;;;Android
A Boy and His Blob: Trouble on Blobolonia;0.8666666666666667;;;;Android
