title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Brute (2017);;;;;PlayStation
Brute Force;7;;;;PlayStation
BS Zelda no Densetsu;10.5;;;;PlayStation
BS Zelda no Densetsu: Inishie no Sekiban;4;;;;PlayStation
BS Zelda no Densetsu: MAP2;;;;;PlayStation
Bubba 'n' Stix;;;;;PlayStation
Bubble and Squeak;;;;;PlayStation
Bubble Blowout;;;;;PlayStation
Bubble Bobble;2.5;;;;PlayStation
Bubble Bobble Double Shot;;;;;PlayStation
Bubble Bobble Evolution;;;;;PlayStation
Bubble Bobble Neo!;1.5;;;;PlayStation
Bubble Bobble Old & New;;;;;PlayStation
Bubble Bobble Part 2;1.5;;;;PlayStation
Bubble Bobble Revolution;;;;;PlayStation
Bubble Ghost;0.36666666666666664;;;;PlayStation
Bubble Symphony;1;;;;PlayStation
Bubble Trubble;;;;;PlayStation
Bubbles (1982);;;;;PlayStation
Bubsy 3D;4;;;;PlayStation
Bubsy 3D: Bubsy Visits The James Turrell Retrospective;0.25;;;;PlayStation
Bubsy II;2.5;;;;PlayStation
Bubsy in Fractured Furry Tales;;;;;PlayStation
Bubsy in: Claws Encounters of the Furred Kind;4.5;;;;PlayStation
Bubsy Two-Fur;;;;;PlayStation
Buccaneer: The Pursuit of Infamy;15;;;;PlayStation
Buck Bumble;10;;;;PlayStation
Buck Rogers: Countdown to Doomsday;10.5;;;;PlayStation
Buck Rogers: Matrix Cubed;;;;;PlayStation
Buck Rogers: Planet of Zoom;;;;;PlayStation
Bucket Detective;;;;;PlayStation
Bucky O'Hare (Arcade);2.5;;;;PlayStation
Bucky O'Hare (NES);2;;;;PlayStation
Bud Tucker in Double Trouble;;;;;PlayStation
Buddy;3;;;;PlayStation
Budokan: The Martial Spirit;;;;;PlayStation
Buff Knight Advanced;;;;;PlayStation
Buffers Evolution;;;;;PlayStation
Buffy the Vampire Slayer;7.5;;;;PlayStation
Buffy the Vampire Slayer (2000);2;;;;PlayStation
Buffy the Vampire Slayer: Chaos Bleeds;8.5;;;;PlayStation
