title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Radiant Defense;;;;;PlayStation
Radiant Historia;34.5;;;;PlayStation
Radiant Silvergun;;;;;PlayStation
Radiata Stories;35.5;;;;PlayStation
Radiation Island;;;;;PlayStation
Radiation's Halloween Hack: Bad Fur Day Edition;;;;;PlayStation
Radiator 2;;;;;PlayStation
Radical Dreamers: Nusumenai Houseki;4.5;;;;PlayStation
Radical Heroes: Crimson City Crisis;;;;;PlayStation
Radical Psycho Machine Racing;;;;;PlayStation
Radical Rex;;;;;PlayStation
Radical Roach;;;;;PlayStation
Radical Spectrum: Volume 1;;;;;PlayStation
Radical Spectrum: Volume 2;;;;;PlayStation
Radikal Bikers;4;;;;PlayStation
Radio the Universe;;;;;PlayStation
Radirgy;;;;;PlayStation
Radium;;;;;PlayStation
Rag Doll Kung Fu: Fists of Plastic;2;;;;PlayStation
Ragdoll Runners;;;;;PlayStation
Rage;11;;;;PlayStation
Rage (Mobile);0.5666666666666667;;;;PlayStation
Rage of Mages;;;;;PlayStation
Rage of Mages II: Necromancer;14.5;;;;PlayStation
Rage of the Dragons;;;;;PlayStation
Rage of the Gladiator;;;;;PlayStation
Rage Parking Simulator 2016;1;;;;PlayStation
Rage Racer;6;;;;PlayStation
Rage Rally;;;;;PlayStation
Rage Runner;;;;;PlayStation
Rage Wars;;;;;PlayStation
Rage: The Scorchers DLC;2;;;;PlayStation
Rage: Wasteland Sewer Missions DLC;0.9333333333333333;;;;PlayStation
Rageball;;;;;PlayStation
Raging Titan;;;;;PlayStation
Ragnagard;;;;;PlayStation
Ragnarok Battle Offline;20;;;;PlayStation
Ragnarok Clicker;;;;;PlayStation
Ragnarok DS;18;;;;PlayStation
Ragnarok Journey;;;;;PlayStation
Ragnarok Odyssey;34;;;;PlayStation
Ragnarok Odyssey Ace;23;;;;PlayStation
Ragnarok Online;;;;;PlayStation
Ragnarok Online 2;;;;;PlayStation
Ragnarok Re:Start;;;;;PlayStation
Ragnarok Tactics;22;;;;PlayStation
RahXephon;;;;;PlayStation
Raid on Bungeling Bay;;;;;PlayStation
Raiden;1.5;;;;PlayStation
Raiden DX;0.6166666666666667;;;;PlayStation
Raiden Fighters;0.6666666666666666;;;;PlayStation
Raiden Fighters 2;;;;;PlayStation
Raiden Fighters Aces;0.5833333333333334;;;;PlayStation
Raiden Fighters Jet;0.4166666666666667;;;;PlayStation
Raiden II;0.6166666666666667;;;;PlayStation
Raiden III;0.4166666666666667;;;;PlayStation
Raiden IV;0.8333333333333334;;;;PlayStation
Raiden IV: OverKill;6;;;;PlayStation
Raiden Legacy;;;;;PlayStation
Raiden Trad;1.5;;;;PlayStation
Raiden V;1.5;;;;PlayStation
Raiders of the Broken Planet - Prologue;;;;;PlayStation
Raiders of the Lost Ark;;;;;PlayStation
RaidersSphere4th;;;;;PlayStation
RaiderZ;;;;;PlayStation
Rail Cargo Simulator;;;;;PlayStation
Rail Simulator;;;;;PlayStation
Railroad Pioneer;;;;;PlayStation
Railroad Tycoon;;;;;PlayStation
Railroad Tycoon 2;14.5;;;;PlayStation
