title;main_story_length;mainextra_length;completionist_length;combined_length;platform
19XX: The War Against Destiny;0.65;;;;PlayStation 2
1bitheart;3.5;;;;PlayStation 2
1HEART;3.5;;;;PlayStation 2
1Quest;1.5;;;;PlayStation 2
1Xtreme;0.5833333333333334;;;;PlayStation 2
2 Fast 4 Gnomz;;;;;PlayStation 2
2 Ninjas 1 Cup;;;;;PlayStation 2
2 Sectors (Doom 2 WAD);0.6833333333333333;;;;PlayStation 2
200% Mixed Juice!;5.5;;;;PlayStation 2
2000:1: A Space Felony;1;;;;PlayStation 2
2001:1: A Space Felony;;;;;PlayStation 2
2002 FIFA World Cup;;;;;PlayStation 2
2006 FIFA World Cup;;;;;PlayStation 2
2010 FIFA World Cup South Africa;;;;;PlayStation 2
2013: Infected Wars;5;;;;PlayStation 2
2014 FIFA World Cup Brazil;;;;;PlayStation 2
2048;0.26666666666666666;;;;PlayStation 2
2064: Read Only Memories;9.5;;;;PlayStation 2
20XX;4;;;;PlayStation 2
24 Hours;;;;;PlayStation 2
24 Hours 'til Rescue;;;;;PlayStation 2
2400 A.D.;;;;;PlayStation 2
24: The Game;12;;;;PlayStation 2
25 To Life;4.5;;;;PlayStation 2
28 Waves Later;;;;;PlayStation 2
2Dark;10;;;;PlayStation 2
2Xtreme;0.9833333333333333;;;;PlayStation 2
3 Cards to Dead Time;11.5;;;;PlayStation 2
3 Cards to Midnight;17.5;;;;PlayStation 2
3 Coins At School;;;;;PlayStation 2
3 Count Bout;2;;;;PlayStation 2
3 in Three;;;;;PlayStation 2
3 Ninjas Kick Back;2;;;;PlayStation 2
3 on 3 NHL Arcade;1;;;;PlayStation 2
3 Skulls of the Toltecs;;;;;PlayStation 2
3 Stars of Destiny;15;;;;PlayStation 2
3-D Tic-Tac-Toe;;;;;PlayStation 2
3-D Ultra Pinball;;;;;PlayStation 2
3-D Ultra Radio Control Racers;;;;;PlayStation 2
3-D WorldRunner;1;;;;PlayStation 2
30 Flights of Loathing;0.08333333333333333;;;;PlayStation 2
30 Impossible Levels;2;;;;PlayStation 2
300 Dwarves;3;;;;PlayStation 2
