title;main_story_length;mainextra_length;completionist_length;combined_length;platform
#IDARB;;;;;PlayStation
#KillAllZombies;;;;;PlayStation
#monstercakes;0.25;;;;PlayStation
#SelfieTennis;;;;;PlayStation
$1 Ride;;;;;PlayStation
大海战 Navy Field IV;;;;;PlayStation
'n Verlore Verstand;4;;;;PlayStation
'Splosion Man;8;;;;PlayStation
.detuned;0.36666666666666664;;;;PlayStation
.EXE;;;;;PlayStation
.flow;;;;;PlayStation
.hack//G.U. Vol. 1: Rebirth;24;;;;PlayStation
.hack//G.U. Vol. 2: Reminisce;23;;;;PlayStation
.hack//G.U. Vol. 3: Redemption;25;;;;PlayStation
.hack//Infection;17.5;;;;PlayStation
.hack//Link;29;;;;PlayStation
.hack//Mutation;16;;;;PlayStation
.hack//Outbreak;20;;;;PlayStation
.hack//Quarantine;18;;;;PlayStation
.hack//Versus;12;;;;PlayStation
//N.P.P.D. RUSH//- The milk of Ultraviolet;2;;;;PlayStation
//SNOWFLAKE TATTOO//;;;;;PlayStation
0 Day Attack on Earth;;;;;PlayStation
007 Legends;6.5;;;;PlayStation
007 Legends: Skyfall DLC;0.5;;;;PlayStation
007 Racing;;;;;PlayStation
007: Licence to Kill;0.8;;;;PlayStation
007: The Living Daylights;;;;;PlayStation
007: The World Is Not Enough;6;;;;PlayStation
0D Beat Drop;;;;;PlayStation
0RBITALIS;2;;;;PlayStation
0Space;;;;;PlayStation
1 Moment of Time: Silentville;2;;;;PlayStation
1 vs. 100;;;;;PlayStation
1,000 Heads Among the Trees;0.8;;;;PlayStation
1-2-Swift;;;;;PlayStation
1-2-Switch;1;;;;PlayStation
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);;;;;PlayStation
10 Billion Wives;;;;;PlayStation
10 Minute Tower;;;;;PlayStation
10 Pin Bowling;;;;;PlayStation
10 Second Ninja;1;;;;PlayStation
10 Second Ninja X;2.5;;;;PlayStation
10 Years After;;;;;PlayStation
10,000 Bullets;4.5;;;;PlayStation
10-Yard Fight;;;;;PlayStation
100 All-Time Favorites;;;;;PlayStation
100 Rogues;;;;;PlayStation
100% Orange Juice;7;;;;PlayStation
1000 Amps;4;;;;PlayStation
1000 Heroz;;;;;PlayStation
1000 Tiny Claws;4;;;;PlayStation
10000000;6;;;;PlayStation
1001 Spikes;6.5;;;;PlayStation
100ft Robot Golf;;;;;PlayStation
101 Ways to Die;9;;;;PlayStation
101-in-1 Explosive Megamix;;;;;PlayStation
101-in-1 Party Megamix;;;;;PlayStation
102 Dalmatians: Puppies to the Rescue;4;;;;PlayStation
1080 Snowboarding;3;;;;PlayStation
1080Â° Avalanche;4.5;;;;PlayStation
1166;1.5;;;;PlayStation
1187: Episode 1;6;;;;PlayStation
11eyes CrossOver;;;;;PlayStation
11eyes ~Tsumi to Batsu to Aganai no Shoujo~;;;;;PlayStation
12 is Better Than 6;4;;;;PlayStation
12 Labours of Hercules;6;;;;PlayStation
12 Labours of Hercules II: The Cretan Bull;6;;;;PlayStation
12 Labours of Hercules III: Girl Power;5.5;;;;PlayStation
12 Labours of Hercules IV: Mother Nature;6.5;;;;PlayStation
12 Labours of Hercules V: Kids of Hellas;;;;;PlayStation
12 Labours of Hercules VI: Race for Olympus;;;;;PlayStation
12 Orbits;;;;;PlayStation
1213: Special Edition;2.5;;;;PlayStation
123 Slaughter Me Street;;;;;PlayStation
123 Slaughter Me Street 2;;;;;PlayStation
140;1;;;;PlayStation
14px;;;;;PlayStation
15 Days;6.5;;;;PlayStation
16 Bit Arena;;;;;PlayStation
16bit Trader;;;;;PlayStation
18 Wheeler: American Pro Trucker;1;;;;PlayStation
18 Wheels of Steel: Across America;20;;;;PlayStation
18 Wheels of Steel: American Long Haul;;;;;PlayStation
18 Wheels of Steel: Convoy;;;;;PlayStation
18 Wheels of Steel: Extreme Trucker;;;;;PlayStation
18 Wheels of Steel: Extreme Trucker 2;;;;;PlayStation
18 Wheels of Steel: Haulin';;;;;PlayStation
18 Wheels of Steel: Pedal to the Metal;;;;;PlayStation
1849;12.5;;;;PlayStation
1869;;;;;PlayStation
187 Ride or Die;;;;;PlayStation
1893: A World's Fair Mystery;;;;;PlayStation
1914: Prelude to Chaos;;;;;PlayStation
1916 - Der unbekannte Krieg;0.08333333333333333;;;;PlayStation
1917 - The Alien Invasion;1;;;;PlayStation
1924;0.25;;;;PlayStation
1931: Scheherazade at the Library of Pergamum;10.5;;;;PlayStation
1941: Counter Attack;0.48333333333333334;;;;PlayStation
1942;2;;;;PlayStation
1942: Joint Strike;1.5;;;;PlayStation
1942: The Pacific Air War;;;;;PlayStation
1943: The Battle of Midway;3;;;;PlayStation
1944: The Loop Master;0.7666666666666667;;;;PlayStation
1945k III;;;;;PlayStation
1953 - KGB Unleashed;2;;;;PlayStation
1953: NATO vs Warsaw Pact;;;;;PlayStation
1954: Alcatraz;5.5;;;;PlayStation
1979 Revolution: Black Friday;2;;;;PlayStation
1982;;;;;PlayStation
1991 Du Ma Racing;;;;;PlayStation
1993 Space Machine;3;;;;PlayStation
199X;2;;;;PlayStation
19XX: The War Against Destiny;0.65;;;;PlayStation
1bitheart;3.5;;;;PlayStation
1HEART;3.5;;;;PlayStation
1Quest;1.5;;;;PlayStation
1Xtreme;0.5833333333333334;;;;PlayStation
2 Fast 4 Gnomz;;;;;PlayStation
2 Ninjas 1 Cup;;;;;PlayStation
2 Sectors (Doom 2 WAD);0.6833333333333333;;;;PlayStation
200% Mixed Juice!;5.5;;;;PlayStation
2000:1: A Space Felony;1;;;;PlayStation
2001:1: A Space Felony;;;;;PlayStation
2002 FIFA World Cup;;;;;PlayStation
2006 FIFA World Cup;;;;;PlayStation
2010 FIFA World Cup South Africa;;;;;PlayStation
2013: Infected Wars;5;;;;PlayStation
2014 FIFA World Cup Brazil;;;;;PlayStation
2048;0.26666666666666666;;;;PlayStation
2064: Read Only Memories;9.5;;;;PlayStation
20XX;4;;;;PlayStation
24 Hours;;;;;PlayStation
24 Hours 'til Rescue;;;;;PlayStation
2400 A.D.;;;;;PlayStation
24: The Game;12;;;;PlayStation
25 To Life;4.5;;;;PlayStation
28 Waves Later;;;;;PlayStation
2Dark;10;;;;PlayStation
2Xtreme;0.9833333333333333;;;;PlayStation
3 Cards to Dead Time;11.5;;;;PlayStation
3 Cards to Midnight;17.5;;;;PlayStation
3 Coins At School;;;;;PlayStation
3 Count Bout;2;;;;PlayStation
3 in Three;;;;;PlayStation
3 Ninjas Kick Back;2;;;;PlayStation
3 on 3 NHL Arcade;1;;;;PlayStation
3 Skulls of the Toltecs;;;;;PlayStation
3 Stars of Destiny;15;;;;PlayStation
3-D Tic-Tac-Toe;;;;;PlayStation
3-D Ultra Pinball;;;;;PlayStation
3-D Ultra Radio Control Racers;;;;;PlayStation
3-D WorldRunner;1;;;;PlayStation
30 Flights of Loathing;0.08333333333333333;;;;PlayStation
30 Impossible Levels;2;;;;PlayStation
300 Dwarves;3;;;;PlayStation
300: March to Glory;7.5;;;;PlayStation
3030 Deathwar;;;;;PlayStation
3030 Deathwar Redux;;;;;PlayStation
3079;3;;;;PlayStation
3089;6.5;;;;PlayStation
35MM;4;;;;PlayStation
3D Chess;;;;;PlayStation
3D Classics: Excitebike;1.5;;;;PlayStation
3D Classics: Kid Icarus;4;;;;PlayStation
3D Dot Game Heroes;15.5;;;;PlayStation
3D Ecco the Dolphin;;;;;PlayStation
3D Fantasy Zone II W;1.5;;;;PlayStation
3D Galaxy Force II;0.45;;;;PlayStation
3D Gunstar Heroes;2;;;;PlayStation
3D Maze Walker;1;;;;PlayStation
3D Mini Golf;;;;;PlayStation
3D Pinball Express;;;;;PlayStation
3D Pinball for Windows - Space Cadet;;;;;PlayStation
3D Tetris;;;;;PlayStation
3D Tunnel;;;;;PlayStation
3D Ultra MiniGolf Adventures;;;;;PlayStation
3D Ultra MiniGolf Adventures 2;;;;;PlayStation
3DRPG;;;;;PlayStation
