title;main_story_length;mainextra_length;completionist_length;combined_length;platform
300: March to Glory;7.5;;;;Mac
3030 Deathwar;;;;;Mac
3030 Deathwar Redux;;;;;Mac
3079;3;;;;Mac
3089;6.5;;;;Mac
35MM;4;;;;Mac
3D Chess;;;;;Mac
3D Classics: Excitebike;1.5;;;;Mac
3D Classics: Kid Icarus;4;;;;Mac
3D Dot Game Heroes;15.5;;;;Mac
3D Ecco the Dolphin;;;;;Mac
3D Fantasy Zone II W;1.5;;;;Mac
3D Galaxy Force II;0.45;;;;Mac
3D Gunstar Heroes;2;;;;Mac
3D Maze Walker;1;;;;Mac
3D Mini Golf;;;;;Mac
3D Pinball Express;;;;;Mac
3D Pinball for Windows - Space Cadet;;;;;Mac
3D Tetris;;;;;Mac
3D Tunnel;;;;;Mac
3D Ultra MiniGolf Adventures;;;;;Mac
3D Ultra MiniGolf Adventures 2;;;;;Mac
3DRPG;;;;;Mac
3rd Super Robot Wars Alpha: To the End of the Galaxy;;;;;Mac
3rd Super Robot Wars Z: Tengoku-hen;62.5;;;;Mac
3Souls;2;;;;Mac
3SwitcheD;1.5;;;;Mac
3Xtreme;0.6833333333333333;;;;Mac
4 Elements;8.5;;;;Mac
4 Elements II;6;;;;Mac
4 Pics 1 Word;;;;;Mac
4 Wheel Drive;0.6666666666666666;;;;Mac
4 Wheel Thunder;;;;;Mac
4-in-1 Fun Pak;;;;;Mac
40 Winks;6;;;;Mac
400 Years;0.31666666666666665;;;;Mac
404Sight;0.8166666666666667;;;;Mac
4089: Ghost Within;;;;;Mac
42 All-Time Classics;;;;;Mac
4D Prince of Persia;;;;;Mac
4D Sports Boxing;;;;;Mac
4D Sports Tennis;;;;;Mac
4PM;0.43333333333333335;;;;Mac
4V4 Arashi Get The Goal;;;;;Mac
4x4 Dream Race;;;;;Mac
4x4 EVO 2;;;;;Mac
4x4 Evolution;12.5;;;;Mac
4x4 Hummer;7;;;;Mac
5 Days a Stranger;3;;;;Mac
5 Minutes Rage;;;;;Mac
50 Cent: Blood on the Sand;6;;;;Mac
50 Cent: Bulletproof;6;;;;Mac
50 years;;;;;Mac
500 Years: Act 1;;;;;Mac
5089: The Action RPG;;;;;Mac
6 Day Assassin;0.25;;;;Mac
6 Days a Sacrifice;3;;;;Mac
6 Degrees of Sabotage;0.08333333333333333;;;;Mac
60 Seconds Burger Run;0.08333333333333333;;;;Mac
60 Seconds Santa Run;0.25;;;;Mac
60 Seconds!;2;;;;Mac
