title;main_story_length;mainextra_length;completionist_length;combined_length;platform
3D Ecco the Dolphin;;;;;PC
3D Fantasy Zone II W;1.5;;;;PC
3D Galaxy Force II;0.45;;;;PC
3D Gunstar Heroes;2;;;;PC
3D Maze Walker;1;;;;PC
3D Mini Golf;;;;;PC
3D Pinball Express;;;;;PC
3D Pinball for Windows - Space Cadet;;;;;PC
3D Tetris;;;;;PC
3D Tunnel;;;;;PC
3D Ultra MiniGolf Adventures;;;;;PC
3D Ultra MiniGolf Adventures 2;;;;;PC
3DRPG;;;;;PC
3rd Super Robot Wars Alpha: To the End of the Galaxy;;;;;PC
3rd Super Robot Wars Z: Tengoku-hen;62.5;;;;PC
3Souls;2;;;;PC
3SwitcheD;1.5;;;;PC
3Xtreme;0.6833333333333333;;;;PC
4 Elements;8.5;;;;PC
4 Elements II;6;;;;PC
4 Pics 1 Word;;;;;PC
4 Wheel Drive;0.6666666666666666;;;;PC
4 Wheel Thunder;;;;;PC
4-in-1 Fun Pak;;;;;PC
40 Winks;6;;;;PC
400 Years;0.31666666666666665;;;;PC
404Sight;0.8166666666666667;;;;PC
4089: Ghost Within;;;;;PC
42 All-Time Classics;;;;;PC
4D Prince of Persia;;;;;PC
4D Sports Boxing;;;;;PC
4D Sports Tennis;;;;;PC
4PM;0.43333333333333335;;;;PC
4V4 Arashi Get The Goal;;;;;PC
4x4 Dream Race;;;;;PC
4x4 EVO 2;;;;;PC
4x4 Evolution;12.5;;;;PC
4x4 Hummer;7;;;;PC
5 Days a Stranger;3;;;;PC
5 Minutes Rage;;;;;PC
50 Cent: Blood on the Sand;6;;;;PC
50 Cent: Bulletproof;6;;;;PC
50 years;;;;;PC
500 Years: Act 1;;;;;PC
5089: The Action RPG;;;;;PC
6 Day Assassin;0.25;;;;PC
6 Days a Sacrifice;3;;;;PC
6 Degrees of Sabotage;0.08333333333333333;;;;PC
60 Seconds Burger Run;0.08333333333333333;;;;PC
60 Seconds Santa Run;0.25;;;;PC
60 Seconds!;2;;;;PC
6180 the moon;1;;;;PC
64.0;;;;;PC
688(I) Hunter/Killer;9.5;;;;PC
69 Ways to Kill a Zombie;;;;;PC
7 Blades;;;;;PC
7 Days a Skeptic;3;;;;PC
7 Days to Die;30;;;;PC
7 Dni a 7 noci;;;;;PC
7 Grand Steps, Step 1: What Ancients Begat;8;;;;PC
7 Mages;;;;;PC
7 Sins;10;;;;PC
7 Wonders II;6;;;;PC
7 Wonders of the Ancient World;7;;;;PC
7 Wonders: Ancient Alien Makeover;8;;;;PC
7 Wonders: Magical Mystery Tour;7;;;;PC
7 Wonders: Treasures of Seven;7;;;;PC
7,62 High Calibre;;;;;PC
7.62mm;;;;;PC
720 Degrees;;;;;PC
7554;7;;;;PC
7D Game;;;;;PC
7th Dragon;35;;;;PC
7th Dragon 2020;34;;;;PC
7th Dragon 2020-II;;;;;PC
7th Dragon III Code: VFD;32;;;;PC
7th Legion;;;;;PC
8 Ball Pool Multiplayer;;;;;PC
8 Eyes;2.5;;;;PC
8-Bit Adventures: The Forgotten Journey;;;;;PC
8-bit Armies;;;;;PC
8-Bit Armies: Arena;;;;;PC
8-Bit Bayonetta;0.2833333333333333;;;;PC
8-Bit Commando;0.8666666666666667;;;;PC
8-bit Hordes;;;;;PC
8-Bit Invaders!;25;;;;PC
8-Bit Killer;;;;;PC
8-bit Mario World - Desert Mario;0.08333333333333333;;;;PC
80 Days;3;;;;PC
80 Days: Around the World Adventure;8;;;;PC
868-HACK;2;;;;PC
88 Heroes;;;;;PC
8Ball Allstars;;;;;PC
8Bit Fiesta;2;;;;PC
8BitBoy;4.5;;;;PC
8BitMMO;;;;;PC
8DAYS;;;;;PC
8i;;;;;PC
8infinity;;;;;PC
9 Clues 2: The Ward;3;;;;PC
9 Clues: The Secret of Serpent Creek;2.5;;;;PC
9.03m;;;;;PC
90 Minute Fever;;;;;PC
90 Minutes;;;;;PC
911 Operator;8.5;;;;PC
99 Levels to Hell;8;;;;PC
99 Waves to Die;;;;;PC
999: Nine Hours, Nine Persons, Nine Doors;9.5;;;;PC
99Vidas;2.5;;;;PC
9:05;0.25;;;;PC
9th Company: Roots of Terror;4;;;;PC
9th Dawn;;;;;PC
:the game:;0.4166666666666667;;;;PC
A Bastard's Tale;;;;;PC
A Bird Story;;;;;PC
A Blind Legend;2;;;;PC
A Box Full Of Joy;;;;;PC
A Boy and His Blob;9;;;;PC
A Boy and His Blob: Trouble on Blobolonia;0.8666666666666667;;;;PC
A Bug's Life;5.5;;;;PC
A Bug's Life (GBC);3;;;;PC
A Camp in the Woods;;;;;PC
A Chair in a Room: Greenwater;2;;;;PC
A City Sleeps;1;;;;PC
A Collection of Activision Classic Games for the Atari 2600;;;;;PC
A Cosmic Forest;;;;;PC
A Dark Room;3.5;;;;PC
A Date in the Park;0.6166666666666667;;;;PC
A Dead World's Dream;;;;;PC
A Demon's Game - Episode 1;;;;;PC
A Detective's Novel;1.5;;;;PC
A Druid's Duel;13;;;;PC
A Duck Has An Adventure;;;;;PC
A Fairy Tale;;;;;PC
A Family of Grave Diggers;;;;;PC
A Farewell to Dragons;;;;;PC
A Fistful of Gun;3;;;;PC
A Flipping Good Time;;;;;PC
A Foretold Affair;4;;;;PC
A Game of Changes;;;;;PC
A Game of Dwarves;30;;;;PC
A Game of Thrones: Genesis;11.5;;;;PC
A Girls Fabric Face;;;;;PC
A Goddess for Free;0.7166666666666667;;;;PC
A Golden Wake;5;;;;PC
A Goo Adventure;;;;;PC
A Good Snowman is Hard to Build;1.5;;;;PC
A Grande Bagunca Espacial - The Big Space Mess;;;;;PC
A Hat in Time;8;;;;PC
A Healer Only Lives Twice;3;;;;PC
A Hole New World;;;;;PC
A House of Many Doors;20;;;;PC
A Jax;;;;;PC
A Kappa's Trail;6;;;;PC
A King's Tale: Final Fantasy XV;1.5;;;;PC
A Kingdom for Keflings;6;;;;PC
A Kiss for the Petals: Remembering How We Met;;;;;PC
A Land Fit For Heroes;;;;;PC
A Legend of Luca;;;;;PC
A Lenda do Heroi;;;;;PC
A Little Lily Princess;6.5;;;;PC
A Lonely Moon;0.08333333333333333;;;;PC
A Long Road Home;;;;;PC
A Long Way Home;;;;;PC
A Magical High School Girl;;;;;PC
A Mind Forever Voyaging;;;;;PC
A Mortician's Tale;0.9666666666666667;;;;PC
A Mother's Inferno;0.25;;;;PC
A Mysterious Thief;;;;;PC
A Nation of Wind;;;;;PC
A New Beginning;9;;;;PC
A New Reckoning;0.25;;;;PC
A Nightmare on Elm Street;2;;;;PC
A Noble Circle;0.25;;;;PC
A Normal Lost Phone;1.5;;;;PC
A Number's life;;;;;PC
A Pixel Story;;;;;PC
A Princess' Tale;;;;;PC
A Quiver of Crows;;;;;PC
A Robot Named Fight!;;;;;PC
A Rose in the Twilight;;;;;PC
A Second Face;2.5;;;;PC
