title;main_story_length;mainextra_length;completionist_length;combined_length;platform
3-D Tic-Tac-Toe;;;;;Xbox
3-D Ultra Pinball;;;;;Xbox
3-D Ultra Radio Control Racers;;;;;Xbox
3-D WorldRunner;1;;;;Xbox
30 Flights of Loathing;0.08333333333333333;;;;Xbox
30 Impossible Levels;2;;;;Xbox
300 Dwarves;3;;;;Xbox
300: March to Glory;7.5;;;;Xbox
3030 Deathwar;;;;;Xbox
3030 Deathwar Redux;;;;;Xbox
3079;3;;;;Xbox
3089;6.5;;;;Xbox
35MM;4;;;;Xbox
3D Chess;;;;;Xbox
3D Classics: Excitebike;1.5;;;;Xbox
3D Classics: Kid Icarus;4;;;;Xbox
3D Dot Game Heroes;15.5;;;;Xbox
3D Ecco the Dolphin;;;;;Xbox
3D Fantasy Zone II W;1.5;;;;Xbox
3D Galaxy Force II;0.45;;;;Xbox
3D Gunstar Heroes;2;;;;Xbox
3D Maze Walker;1;;;;Xbox
3D Mini Golf;;;;;Xbox
3D Pinball Express;;;;;Xbox
3D Pinball for Windows - Space Cadet;;;;;Xbox
3D Tetris;;;;;Xbox
3D Tunnel;;;;;Xbox
3D Ultra MiniGolf Adventures;;;;;Xbox
3D Ultra MiniGolf Adventures 2;;;;;Xbox
3DRPG;;;;;Xbox
3rd Super Robot Wars Alpha: To the End of the Galaxy;;;;;Xbox
3rd Super Robot Wars Z: Tengoku-hen;62.5;;;;Xbox
3Souls;2;;;;Xbox
3SwitcheD;1.5;;;;Xbox
3Xtreme;0.6833333333333333;;;;Xbox
4 Elements;8.5;;;;Xbox
4 Elements II;6;;;;Xbox
4 Pics 1 Word;;;;;Xbox
4 Wheel Drive;0.6666666666666666;;;;Xbox
4 Wheel Thunder;;;;;Xbox
4-in-1 Fun Pak;;;;;Xbox
40 Winks;6;;;;Xbox
400 Years;0.31666666666666665;;;;Xbox
404Sight;0.8166666666666667;;;;Xbox
4089: Ghost Within;;;;;Xbox
42 All-Time Classics;;;;;Xbox
4D Prince of Persia;;;;;Xbox
4D Sports Boxing;;;;;Xbox
4D Sports Tennis;;;;;Xbox
4PM;0.43333333333333335;;;;Xbox
4V4 Arashi Get The Goal;;;;;Xbox
4x4 Dream Race;;;;;Xbox
4x4 EVO 2;;;;;Xbox
4x4 Evolution;12.5;;;;Xbox
4x4 Hummer;7;;;;Xbox
5 Days a Stranger;3;;;;Xbox
5 Minutes Rage;;;;;Xbox
50 Cent: Blood on the Sand;6;;;;Xbox
50 Cent: Bulletproof;6;;;;Xbox
50 years;;;;;Xbox
500 Years: Act 1;;;;;Xbox
5089: The Action RPG;;;;;Xbox
6 Day Assassin;0.25;;;;Xbox
6 Days a Sacrifice;3;;;;Xbox
6 Degrees of Sabotage;0.08333333333333333;;;;Xbox
60 Seconds Burger Run;0.08333333333333333;;;;Xbox
60 Seconds Santa Run;0.25;;;;Xbox
60 Seconds!;2;;;;Xbox
6180 the moon;1;;;;Xbox
64.0;;;;;Xbox
688(I) Hunter/Killer;9.5;;;;Xbox
69 Ways to Kill a Zombie;;;;;Xbox
7 Blades;;;;;Xbox
7 Days a Skeptic;3;;;;Xbox
7 Days to Die;30;;;;Xbox
7 Dni a 7 noci;;;;;Xbox
7 Grand Steps, Step 1: What Ancients Begat;8;;;;Xbox
7 Mages;;;;;Xbox
7 Sins;10;;;;Xbox
7 Wonders II;6;;;;Xbox
7 Wonders of the Ancient World;7;;;;Xbox
7 Wonders: Ancient Alien Makeover;8;;;;Xbox
7 Wonders: Magical Mystery Tour;7;;;;Xbox
7 Wonders: Treasures of Seven;7;;;;Xbox
7,62 High Calibre;;;;;Xbox
7.62mm;;;;;Xbox
720 Degrees;;;;;Xbox
7554;7;;;;Xbox
7D Game;;;;;Xbox
7th Dragon;35;;;;Xbox
7th Dragon 2020;34;;;;Xbox
7th Dragon 2020-II;;;;;Xbox
7th Dragon III Code: VFD;32;;;;Xbox
7th Legion;;;;;Xbox
8 Ball Pool Multiplayer;;;;;Xbox
8 Eyes;2.5;;;;Xbox
8-Bit Adventures: The Forgotten Journey;;;;;Xbox
8-bit Armies;;;;;Xbox
8-Bit Armies: Arena;;;;;Xbox
8-Bit Bayonetta;0.2833333333333333;;;;Xbox
8-Bit Commando;0.8666666666666667;;;;Xbox
8-bit Hordes;;;;;Xbox
8-Bit Invaders!;25;;;;Xbox
8-Bit Killer;;;;;Xbox
8-bit Mario World - Desert Mario;0.08333333333333333;;;;Xbox
80 Days;3;;;;Xbox
80 Days: Around the World Adventure;8;;;;Xbox
868-HACK;2;;;;Xbox
88 Heroes;;;;;Xbox
8Ball Allstars;;;;;Xbox
8Bit Fiesta;2;;;;Xbox
8BitBoy;4.5;;;;Xbox
8BitMMO;;;;;Xbox
8DAYS;;;;;Xbox
8i;;;;;Xbox
8infinity;;;;;Xbox
9 Clues 2: The Ward;3;;;;Xbox
9 Clues: The Secret of Serpent Creek;2.5;;;;Xbox
9.03m;;;;;Xbox
90 Minute Fever;;;;;Xbox
90 Minutes;;;;;Xbox
911 Operator;8.5;;;;Xbox
99 Levels to Hell;8;;;;Xbox
99 Waves to Die;;;;;Xbox
999: Nine Hours, Nine Persons, Nine Doors;9.5;;;;Xbox
99Vidas;2.5;;;;Xbox
9:05;0.25;;;;Xbox
9th Company: Roots of Terror;4;;;;Xbox
9th Dawn;;;;;Xbox
:the game:;0.4166666666666667;;;;Xbox
A Bastard's Tale;;;;;Xbox
A Bird Story;;;;;Xbox
A Blind Legend;2;;;;Xbox
A Box Full Of Joy;;;;;Xbox
A Boy and His Blob;9;;;;Xbox
A Boy and His Blob: Trouble on Blobolonia;0.8666666666666667;;;;Xbox
A Bug's Life;5.5;;;;Xbox
A Bug's Life (GBC);3;;;;Xbox
A Camp in the Woods;;;;;Xbox
A Chair in a Room: Greenwater;2;;;;Xbox
A City Sleeps;1;;;;Xbox
A Collection of Activision Classic Games for the Atari 2600;;;;;Xbox
A Cosmic Forest;;;;;Xbox
A Dark Room;3.5;;;;Xbox
A Date in the Park;0.6166666666666667;;;;Xbox
A Dead World's Dream;;;;;Xbox
A Demon's Game - Episode 1;;;;;Xbox
A Detective's Novel;1.5;;;;Xbox
A Druid's Duel;13;;;;Xbox
A Duck Has An Adventure;;;;;Xbox
A Fairy Tale;;;;;Xbox
A Family of Grave Diggers;;;;;Xbox
A Farewell to Dragons;;;;;Xbox
A Fistful of Gun;3;;;;Xbox
A Flipping Good Time;;;;;Xbox
A Foretold Affair;4;;;;Xbox
A Game of Changes;;;;;Xbox
A Game of Dwarves;30;;;;Xbox
A Game of Thrones: Genesis;11.5;;;;Xbox
A Girls Fabric Face;;;;;Xbox
A Goddess for Free;0.7166666666666667;;;;Xbox
A Golden Wake;5;;;;Xbox
A Goo Adventure;;;;;Xbox
A Good Snowman is Hard to Build;1.5;;;;Xbox
A Grande Bagunca Espacial - The Big Space Mess;;;;;Xbox
A Hat in Time;8;;;;Xbox
A Healer Only Lives Twice;3;;;;Xbox
A Hole New World;;;;;Xbox
A House of Many Doors;20;;;;Xbox
A Jax;;;;;Xbox
A Kappa's Trail;6;;;;Xbox
A King's Tale: Final Fantasy XV;1.5;;;;Xbox
A Kingdom for Keflings;6;;;;Xbox
A Kiss for the Petals: Remembering How We Met;;;;;Xbox
A Land Fit For Heroes;;;;;Xbox
A Legend of Luca;;;;;Xbox
A Lenda do Heroi;;;;;Xbox
A Little Lily Princess;6.5;;;;Xbox
A Lonely Moon;0.08333333333333333;;;;Xbox
A Long Road Home;;;;;Xbox
A Long Way Home;;;;;Xbox
A Magical High School Girl;;;;;Xbox
